fold,test_start,test_end,days,daily_rank_ic,top100_excess_bps
0,2022-01,2022-06,117,0.085920777,93.584358
1,2022-07,2022-12,125,0.081286199,93.865112
2,2023-01,2023-06,118,0.085291483,56.524323
3,2023-07,2023-12,124,0.104634409,62.942574
4,2024-01,2024-06,117,0.077369736,96.510826
5,2024-07,2024-12,125,0.103797853,152.434906
6,2025-01,2025-06,117,0.104257222,105.308525
7,2025-07,2025-12,126,0.089001705,86.055725
