窗口,训练,Label,PoolL涨停率,Top100实际涨停率,相对PoolL富集
09:31-09:40,Baseline,1m,0.9611492930833764,4.617440660474716,4.804082668221001
09:31-09:40,Baseline,3m,0.9611492930833764,4.662435500515996,4.850896248967585
09:31-09:40,无涨跌停,1m,0.9611492930833764,2.4895768833849328,2.5902083071801942
09:31-09:40,无涨跌停,3m,0.9611492930833764,2.034468524251806,2.1167039698122347
10:01-10:10,Baseline,1m,0.9611492930833764,2.580185758513932,2.6844796922616156
10:01-10:10,Baseline,3m,0.9611492930833764,2.8126934984520124,2.9263856496516416
10:01-10:10,无涨跌停,1m,0.9611492930833764,1.7497420020639833,1.8204684898126426
10:01-10:10,无涨跌停,3m,0.9611492930833764,1.6236326109391124,1.6892616190045597
11:01-11:10,Baseline,1m,0.9611492930833764,1.6011351909184728,1.6658548286312684
11:01-11:10,Baseline,3m,0.9611492930833764,1.637358101135191,1.7035419085442285
11:01-11:10,无涨跌停,1m,0.9611492930833764,1.1402476780185757,1.1863377377729218
11:01-11:10,无涨跌停,3m,0.9611492930833764,1.0113519091847265,1.052231860817688
14:01-14:10,Baseline,1m,0.9611492930833764,0.6830753353973168,0.7106859884441099
14:01-14:10,Baseline,3m,0.9611492930833764,0.7066047471620227,0.7351664847978275
14:01-14:10,无涨跌停,1m,0.9611492930833764,0.5169246646026832,0.5378193255954897
14:01-14:10,无涨跌停,3m,0.9611492930833764,0.43931888544891645,0.45707663586743863
