窗口,训练,Label,Label涨停贡献,Label总超额,收盘涨停贡献,收盘总超额
09:31-09:40,Baseline,1m,2.8325672877868886,11.960897445678711,24.041895430760196,18.06670570373535
09:31-09:40,Baseline,3m,4.839202137680152,12.816535949707031,25.016458081877385,20.635690689086914
09:31-09:40,无涨跌停,1m,1.2962741149358887,11.342179298400879,12.976982718184605,19.331804275512695
09:31-09:40,无涨跌停,3m,1.6730601957890185,11.939093589782715,10.832535712157933,21.361173629760742
10:01-10:10,Baseline,1m,0.6494710327159844,8.519936561584473,10.599929292070458,9.983325004577637
10:01-10:10,Baseline,3m,1.0637167041129283,8.535252571105957,11.962963179690334,12.531744003295898
10:01-10:10,无涨跌停,1m,0.4253416166021578,8.479995727539062,7.313513318342249,11.357504844665527
10:01-10:10,无涨跌停,3m,0.5353145079482865,8.407146453857422,6.94426827955994,14.003289222717285
11:01-11:10,Baseline,1m,0.3268231337299893,7.77020263671875,5.368839503224392,7.624375343322754
11:01-11:10,Baseline,3m,0.5039287602668449,7.916740894317627,5.633424733105025,8.822891235351562
11:01-11:10,无涨跌停,1m,0.24102721976210903,7.823708534240723,3.833045404702602,9.004260063171387
11:01-11:10,无涨跌停,3m,0.3185525755377913,8.011690139770508,3.505158178734184,10.295689582824707
14:01-14:10,Baseline,1m,0.16313560103737493,7.631932735443115,1.547748950494671,7.589507579803467
14:01-14:10,Baseline,3m,0.2724374193121823,8.084341049194336,1.6803219313610234,9.695466041564941
14:01-14:10,无涨跌停,1m,0.1348054049191534,7.750064373016357,1.272058515484704,8.153404235839844
14:01-14:10,无涨跌停,3m,0.18568930047702636,8.167423248291016,1.1027942481443025,9.95756721496582
