pool,pool_label,week_start,variant,next_cumulative_net_return_bps,next_cumulative_alpha_bps
baseline_pool_l,lgbm328,2022-04-14,lgbm328,-962.397530,454.5533152785483
baseline_pool_l,lgbm328,2022-04-15,lgbm328,-934.143745,441.1400251917446
baseline_pool_l,lgbm328,2022-04-18,lgbm328,-804.446616,425.59566425883247
baseline_pool_l,lgbm328,2022-04-19,lgbm328,-912.773246,375.16562642751353
baseline_pool_l,lgbm328,2022-04-20,lgbm328,-1188.906965,357.7208754746689
baseline_pool_l,lgbm328,2022-04-21,lgbm328,-1421.574073,337.1239494660231
baseline_pool_l,lgbm328,2022-04-22,lgbm328,-1779.448459,362.0859171525476
baseline_pool_l,lgbm328,2022-04-25,lgbm328,-2143.683612,431.75598515846286
baseline_pool_l,lgbm328,2022-04-26,lgbm328,-2015.335309,510.10156554387504
baseline_pool_l,lgbm328,2022-04-27,lgbm328,-1775.181496,572.7575473597283
baseline_pool_l,lgbm328,2022-04-28,lgbm328,-1589.164097,590.0336229788306
baseline_pool_l,lgbm328,2022-04-29,lgbm328,-1302.668737,607.2712937838321
baseline_pool_l,lgbm328,2022-05-05,lgbm328,-1264.261225,605.7991971114175
baseline_pool_l,lgbm328,2022-05-06,lgbm328,-1143.009767,588.6844530750773
baseline_pool_l,lgbm328,2022-05-09,lgbm328,-1011.982340,597.9872029934877
baseline_pool_l,lgbm328,2022-05-10,lgbm328,-859.277450,589.592484747744
baseline_pool_l,lgbm328,2022-05-11,lgbm328,-817.080749,607.6555265491195
baseline_pool_l,lgbm328,2022-05-12,lgbm328,-785.695253,584.4165059039983
baseline_pool_l,lgbm328,2022-05-13,lgbm328,-762.352016,588.4439496547752
baseline_pool_l,lgbm328,2022-05-16,lgbm328,-780.024592,606.8210607984319
baseline_pool_l,lgbm328,2022-05-17,lgbm328,-753.266445,573.4519937686895
baseline_pool_l,lgbm328,2022-05-18,lgbm328,-752.804408,532.4900106428006
baseline_pool_l,lgbm328,2022-05-19,lgbm328,-600.489951,550.4764840421997
baseline_pool_l,lgbm328,2022-05-20,lgbm328,-512.014448,550.5779886679447
baseline_pool_l,lgbm328,2022-05-23,lgbm328,-684.834613,551.7169216539364
baseline_pool_l,lgbm328,2022-05-24,lgbm328,-812.436186,540.2845135407439
baseline_pool_l,lgbm328,2022-05-25,lgbm328,-759.242165,509.89344934829523
baseline_pool_l,lgbm328,2022-05-26,lgbm328,-704.223616,521.3032708401563
baseline_pool_l,lgbm328,2022-05-27,lgbm328,-689.960749,515.5959515721967
baseline_pool_l,lgbm328,2022-05-30,lgbm328,-575.125612,522.1083890952256
baseline_pool_l,lgbm328,2022-05-31,lgbm328,-518.617232,459.89467310610587
baseline_pool_l,lgbm328,2022-06-01,lgbm328,-435.847338,469.44690801213824
baseline_pool_l,lgbm328,2022-06-02,lgbm328,-253.946027,492.44700593695967
baseline_pool_l,lgbm328,2022-06-06,lgbm328,-190.080161,504.8863322450485
baseline_pool_l,lgbm328,2022-06-07,lgbm328,-221.148295,507.44641445147846
baseline_pool_l,lgbm328,2022-06-08,lgbm328,-292.798210,540.7175811550964
baseline_pool_l,lgbm328,2022-06-09,lgbm328,-236.571857,585.0567681057677
baseline_pool_l,lgbm328,2022-06-10,lgbm328,-64.283483,650.7704393912805
baseline_pool_l,lgbm328,2022-06-13,lgbm328,-15.527831,690.6348567594725
baseline_pool_l,lgbm328,2022-06-14,lgbm328,9.458178,670.2873746921271
baseline_pool_l,lgbm328,2022-06-15,lgbm328,-4.383730,649.5917159782925
baseline_pool_l,lgbm328,2022-06-16,lgbm328,64.570088,681.5371897156439
baseline_pool_l,lgbm328,2022-06-17,lgbm328,221.086084,739.8541233560795
baseline_pool_l,lgbm328,2022-06-20,lgbm328,188.639100,706.5944487347797
baseline_pool_l,lgbm328,2022-06-21,lgbm328,92.510187,690.3536498051631
baseline_pool_l,lgbm328,2022-06-22,lgbm328,175.480536,736.8467892836366
baseline_pool_l,lgbm328,2022-06-23,lgbm328,343.737095,769.0303933834009
baseline_pool_l,lgbm328,2022-06-24,lgbm328,433.719956,787.3725971703487
baseline_pool_l,lgbm328,2022-06-27,lgbm328,503.360342,780.3048688407417
baseline_pool_l,lgbm328,2022-06-28,lgbm328,439.564048,733.8439413388107
baseline_pool_l,lgbm328,2022-06-29,lgbm328,383.662122,736.7448182605422
baseline_pool_l,lgbm328,2022-06-30,lgbm328,417.723388,763.1227280982534
baseline_pool_l,lgbm328,2022-07-01,lgbm328,445.173586,755.2019510274008
baseline_pool_l,lgbm328,2022-07-04,lgbm328,520.808752,810.854048797963
baseline_pool_l,lgbm328,2022-07-05,lgbm328,432.866892,823.4668718926769
baseline_pool_l,lgbm328,2022-07-06,lgbm328,469.892542,834.4135880722749
baseline_pool_l,lgbm328,2022-07-07,lgbm328,502.964915,824.646010937964
baseline_pool_l,lgbm328,2022-07-08,lgbm328,384.870406,768.8166477554443
baseline_pool_l,lgbm328,2022-07-11,lgbm328,284.465191,758.1863359522173
baseline_pool_l,lgbm328,2022-07-12,lgbm328,250.935967,731.4714575270766
baseline_pool_l,lgbm328,2022-07-13,lgbm328,380.323825,767.212138698191
baseline_pool_l,lgbm328,2022-07-14,lgbm328,402.117411,822.1600927158541
baseline_pool_l,lgbm328,2022-07-15,lgbm328,465.184034,822.7466896322546
baseline_pool_l,lgbm328,2022-07-18,lgbm328,592.616823,813.1673791004574
baseline_pool_l,lgbm328,2022-07-19,lgbm328,704.583230,839.1389726579636
baseline_pool_l,lgbm328,2022-07-20,lgbm328,749.029078,860.4709290920628
baseline_pool_l,lgbm328,2022-07-21,lgbm328,686.842271,828.8554072792227
baseline_pool_l,lgbm328,2022-07-22,lgbm328,570.449831,793.2347759993352
baseline_pool_l,lgbm328,2022-07-25,lgbm328,554.546618,781.4777833554001
baseline_pool_l,lgbm328,2022-07-26,lgbm328,708.233545,817.0598007076046
baseline_pool_l,lgbm328,2022-07-27,lgbm328,828.389594,854.70485923884
baseline_pool_l,lgbm328,2022-07-28,lgbm328,836.722590,882.3102074332934
baseline_pool_l,lgbm328,2022-07-29,lgbm328,870.260241,920.9677867908114
baseline_pool_l,lgbm328,2022-08-01,lgbm328,794.245119,986.3274103177025
baseline_pool_l,lgbm328,2022-08-02,lgbm328,732.865545,1023.4957240800549
baseline_pool_l,lgbm328,2022-08-03,lgbm328,661.869498,984.1619377721736
baseline_pool_l,lgbm328,2022-08-04,lgbm328,757.900104,979.0981323960509
baseline_pool_l,lgbm328,2022-08-05,lgbm328,882.678089,979.0924036920517
baseline_pool_l,lgbm328,2022-08-08,lgbm328,994.132821,991.4873475690773
baseline_pool_l,lgbm328,2022-08-09,lgbm328,1063.107983,1031.4157767430618
baseline_pool_l,lgbm328,2022-08-10,lgbm328,1102.578092,985.0562371399052
baseline_pool_l,lgbm328,2022-08-11,lgbm328,1081.966062,931.534554183547
baseline_pool_l,lgbm328,2022-08-12,lgbm328,1094.908129,947.2316241516185
