case,purge_train_sessions,pool_lag,candidate_rows,valid_candidate_rows,decision_candidate_rows,entry_candidate_rows,candidate_invalid_pct,causal_vs_valid_top100_overlap,decision_vs_valid_top100_overlap,entry_vs_valid_top100_overlap,causal_invalid_pct,causal_short_missing_pct,causal_next_missing_pct,causal_limit_share_pct,causal_short_excess_bps,causal_next_excess_bps,causal_short_excess_missing_zero_bps,causal_next_excess_missing_zero_bps,decision_filter_invalid_pct,decision_filter_short_missing_pct,decision_filter_next_missing_pct,decision_filter_limit_share_pct,decision_filter_short_excess_bps,decision_filter_next_excess_bps,decision_filter_short_excess_missing_zero_bps,decision_filter_next_excess_missing_zero_bps,entry_filter_invalid_pct,entry_filter_short_missing_pct,entry_filter_next_missing_pct,entry_filter_limit_share_pct,entry_filter_short_excess_bps,entry_filter_next_excess_bps,entry_filter_short_excess_missing_zero_bps,entry_filter_next_excess_missing_zero_bps,valid_filter_limit_share_pct,valid_filter_short_excess_bps,valid_filter_next_excess_bps
w0931_0940_h1m,0,0,3391.3215183363923,3373.0719633306803,3383.770727215743,3383.7154119826405,0.5441104991375972,0.998295247425411,0.9989138077818177,0.9991335568398052,0.17047525745899786,0.10811399064728967,0.14629637491785386,4.705148884626813,11.958543,17.839798,11.956068,17.738256,0.1086192218182962,0.04615378833992141,0.08444033927715226,4.65155014230423,11.954441,17.836723,11.951964,17.758837,0.0866443160195186,0.02417888254114384,0.06246543347837469,4.634636154918342,11.954908,17.836206,11.953111,17.76942,4.626239404393561,11.933933,17.756042
w0931_0940_h1m,1,0,3391.3215183363923,3373.0719633306803,3383.770727215743,3383.7154119826405,0.5441104991375972,0.997837309849578,0.9989261579210412,0.9991562055739557,0.21626901504231347,0.15564433615133821,0.19261841799548898,4.727850948340202,11.999688,18.008253,11.996474,17.888706,0.10689829407017702,0.04627361517920187,0.08314353035668597,4.633063535860176,11.997743,18.001595,11.995374,17.928297,0.0843794426044661,0.023754763713490966,0.06062467889097506,4.616578286949232,11.999114,18.002737,11.997493,17.93967,4.609270720386575,11.980847,17.929094
w0931_0940_hclose,0,0,3391.3215183363923,3382.873377074011,3383.770727215743,3383.7154119826405,0.24879787923233843,0.9978547203868547,0.9989831578694254,0.9990951693688491,0.2145279613146527,0.12404489819952655,0.21452796131465254,3.96508148968473,21.03588,20.01883,20.995548,19.87285,0.10137941721774463,0.010896354102618582,0.10137941721774456,3.862033381932994,21.03335,20.039835,21.028498,19.955296,0.09048306311512605,0.0,0.09048306311512598,3.8538529150020158,21.03199,20.03782,21.03199,19.958595,3.8440410852951783,20.961283,20.0561
w0931_0940_hclose,1,0,3391.3215183363923,3382.873377074011,3383.770727215743,3383.7154119826405,0.24879787923233843,0.9980295592441917,0.9990177916999251,0.9991332946562059,0.19704407558092013,0.1103735412014945,0.19704407558091996,4.127367187824488,22.395761,21.822495,22.369797,21.696548,0.09822083000752754,0.011550295628101987,0.09822083000752746,4.037806253313562,22.385582,21.814917,22.37982,21.717813,0.08667053437942554,0.0,0.08667053437942547,4.029430006296029,22.38752,21.813698,22.38752,21.725594,4.020723784124789,22.303225,21.827847
