model,own_label_rank_ic,same_day_close_rank_ic,same_day_close_excess_bps,selected_limit_share_pct,limit_contribution_bps,nonlimit_contribution_bps,no_limit_reselect_excess_bps,close_to_next_open_excess_bps,next_open_to_next_close_excess_bps,close_to_next_close_excess_bps,entry_return_median_pct,entry_room_to_limit_median_pct,entry_ask1_notional_p10_cny,entry_ask1_notional_median_cny
1m_all_a,0.10777871099461023,0.0225981956045854,33.670780181884766,10.227272727272728,47.84392312775924,-14.173140268027435,-13.271845817565918,-34.240340218678874,34.22577948441562,-1.0480512380599976,5.507012110460918,4.8890133182131645,8325.800132751465,118599.99656677246
close_all_a,0.011600539441408889,0.011600539441408889,36.513893127441406,6.665454545454545,36.633517524086685,-0.11962680843885788,1.8477234840393066,-40.74502125405493,33.28439582066641,-8.566174507141113,4.214776195499681,6.175771009433673,9081.599884033203,119050.99658966064
