label_horizon,candidate_limit_share_pct,limit_auc,top100_limit_precision_pct,top100_limit_recall_pct,top100_limit_lift_x,top100_close_excess_bps,selected_limit_close_mean_bps,selected_limit_close_contribution_bps,groups
1m,0.780767875967986,0.5452013950255277,4.576619579823922,20.324455881767186,6.660538968215436,17.8304,656.9358066130259,29.96757163745218,9690
3m,0.780767875967986,0.5512399668474159,4.6252924056621545,20.626138237321538,6.758824552469266,20.364857,670.9985133161596,30.969850268164503,9690
10m,0.780767875967986,0.5454843251725419,4.442012358636866,19.867944130615154,6.488907148844287,20.65046,687.0103289784763,30.32705664151583,9690
1h,0.780767875967986,0.5347972656254742,4.003952264914591,17.826039649641395,5.824706118644011,21.332071,731.7760349745238,29.251698987701328,9690
close,0.780767875967986,0.5405613298921934,3.7955892738044654,17.011828268602578,5.561123587833107,20.434517,744.4599928773721,28.296974490537874,9690
