label_horizon,primary_excess_bps,candidate_final_limit_share_pct,selected_final_limit_share_pct,final_limit_enrichment_x,selected_final_limit_mean_bps,selected_final_limit_return_contribution_bps,selected_final_limit_excess_contribution_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,candidate_decision_near_share_pct,selected_decision_near_share_pct,decision_near_enrichment_x,candidate_decision_sealed_share_pct,selected_decision_sealed_share_pct,decision_sealed_enrichment_x,candidate_entry_near_share_pct,selected_entry_near_share_pct,entry_near_enrichment_x,candidate_entry_at_limit_share_pct,selected_entry_at_limit_share_pct,entry_at_limit_enrichment_x,groups
1m,8.534825943668006,0.5589193165542765,2.582082622846113,5.179847965247077,29.144614028084167,0.6806805860781173,0.8646916343364596,7.825191373578073,7.895856879003313,0.1675900088483819,0.11442345692671864,0.6752671607889091,0.0,0.0,,0.04924797176462649,0.2054535659345613,5.052635992347835,0.006554641617281214,0.007977258318409806,1.5101230397814822,9690
3m,8.546181672674049,0.5593248779782096,2.813218222473749,5.61396753434972,45.70000760639945,1.1715853670759522,1.3583886859401748,7.348083181575404,7.494743776183105,0.1676077944838714,0.1260436527750411,0.768255394258682,0.0,0.0,,0.04928436333868306,0.18108861950690402,4.3064364123371455,0.006561545915806535,0.004643451285490035,0.7697082132818047,9690
10m,8.314684951953259,0.5605075431485917,3.1216135930747986,6.285174273340337,92.49773607662192,2.6784921777635247,2.8221770357026945,5.657686064389619,6.03922575056669,0.16789763060461585,0.13419904897424945,0.8101526056532452,0.0,0.0,,0.049340512301506635,0.15755176420165892,3.7579166421247776,0.006535501740897894,0.006928848101344491,1.3878718805589367,9690
1h,7.698688108768544,0.5652344274610558,2.818447900609987,5.613087372190681,294.6047550007644,8.106722846607255,7.780812725706388,0.042307430315602385,1.5738923816101928,0.16805469323068514,0.14262104986646473,0.8585782950626925,0.0,0.0,,0.049066710732380725,0.13019316889258434,3.2545902610784823,0.006377738614175782,0.0031014057489899584,0.5257395030318053,9690
close,14.69223179985488,0.5539976608007088,2.773318714554892,5.705370272531287,623.6784383946526,17.128685261575924,16.00052405667691,-1.0425786000385104,2.2557295267419772,0.1671823172793669,0.1507951628334938,0.85789072078907,0.0,0.0,,0.048819651041052396,0.11330667409997544,2.900233795950278,0.00651236979832308,0.003850499680515879,0.7962987398082088,9690
