scope,condition,year,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
published_top100,decision_no_offer,2022,2420,3126.1669421487604,100.0,0.05578512396694215,0.0,0.0017844576121260637,0.0,0.0,,0.0,-2.7161223690258076,15.519603449827446,18.235725818853254,15.519603449827446,18.235725818853254,18.23493778335439,0.0
published_top100,decision_at_limit,2022,2420,3126.1669421487604,100.0,0.13429752066115702,0.0,0.004295916473636819,0.0,0.0,,0.0,-2.7161223690258076,15.519603449827446,18.235725818853254,15.519603449827446,18.235725818853254,18.229826621801863,0.0
published_top100,decision_at_limit_with_offer,2022,2420,3126.1669421487604,100.0,0.07892561983471075,0.0,0.002524677066045023,0.0,0.0,,0.0,-2.7161223690258076,15.519603449827446,18.235725818853254,15.519603449827446,18.235725818853254,18.23063352025295,0.0
published_top100,decision_sealed_at_limit,2022,2420,3126.1669421487604,100.0,0.05537190082644628,0.0,0.0017712394075917964,0.0,0.0,,0.0,-2.7161223690258076,15.519603449827446,18.235725818853254,15.519603449827446,18.235725818853254,18.234918499642614,0.0
published_top100,touched_limit_by_decision,2022,2420,3126.1669421487604,100.0,2.93801652892562,0.6450413223140495,0.09398143423863935,0.6450413223140496,6.863497323057968,-48.991861601622794,-0.3160177519013766,-2.7161223690258076,15.519603449827446,18.235725818853254,15.960206721953442,18.67632909097924,18.603903508377122,0.44060327212598693
published_top100,touched_limit_but_opened,2022,2420,3126.1669421487604,100.0,2.803719008264463,0.6450413223140495,0.08968551776500254,0.6450413223140496,7.192257327478577,-48.991861601622794,-0.3160177519013766,-2.7161223690258076,15.519603449827446,18.235725818853254,15.960206721953442,18.67632909097924,18.60981033167688,0.44060327212598693
published_top100,decision_within_10bps,2022,2420,3126.1669421487604,100.0,0.2524793388429752,0.0012396694214876034,0.00807632297043722,0.0012396694214876032,0.15349428521188677,-310.9133310506522,-0.003854297492363457,-2.7161223690258076,15.519603449827446,18.235725818853254,15.524106361753233,18.240228730779037,18.234189079171383,0.004502911925783337
published_top100,decision_within_25bps,2022,2420,3126.1669421487604,100.0,0.3677685950413223,0.006198347107438017,0.011764202035497754,0.006198347107438017,0.5268820689014765,-309.3240986242724,-0.019172981319686307,-2.7161223690258076,15.519603449827446,18.235725818853254,15.549326709456187,18.265449078481993,18.25535839814081,0.029723259628738674
published_top100,decision_within_50bps,2022,2420,3126.1669421487604,100.0,0.5516528925619835,0.021900826446280993,0.017646303053246628,0.021900826446280993,1.241099984523478,-108.41061232938776,-0.023742820055609716,-2.7161223690258076,15.519603449827446,18.235725818853254,15.568244722401355,18.284367091427157,18.269830253706495,0.04864127257390294
published_top100,decision_within_100bps,2022,2420,3126.1669421487604,100.0,0.9549586776859504,0.07975206611570249,0.030547270678691354,0.07975206611570247,2.6107755077226775,-29.058688846070208,-0.023174904740874174,-2.7161223690258076,15.519603449827446,18.235725818853254,15.608440396638649,18.324562765664457,18.305054593478914,0.08883694681120247
published_top100,decision_within_200bps,2022,2420,3126.1669421487604,100.0,2.309504132231405,0.42024793388429754,0.07387654514201904,0.4202479338842975,5.688516335955071,22.52775505654118,0.09467242517562971,-2.7161223690258076,15.519603449827446,18.235725818853254,15.6138436280453,18.329965997071103,18.297459700726723,0.09424017821784858
published_top100,entry_no_offer,2022,2420,3126.1669421487604,100.0,0.0,0.0,0.0,0.0,,,0.0,-2.7161223690258076,15.519603449827446,18.235725818853254,15.519603449827446,18.235725818853254,18.235725818853254,0.0
published_top100,entry_at_limit_with_offer,2022,2420,3126.1669421487604,100.0,0.14793388429752066,0.00371900826446281,0.004732117223267635,0.00371900826446281,0.7859078904843253,-439.2792649009812,-0.01633683216573897,-2.7161223690258076,15.519603449827446,18.235725818853254,15.531919649358032,18.24804201838384,18.243039426978633,0.01231619953058427
published_top100,entry_within_50bps,2022,2420,3126.1669421487604,100.0,0.5144628099173554,0.0384297520661157,0.016456664645162586,0.0384297520661157,2.33520904112317,-71.34156845174438,-0.02741638787608359,-2.7161223690258076,15.519603449827446,18.235725818853254,15.566599644287818,18.28272201331362,18.27044765275486,0.04699619446036607
published_top100,entry_within_100bps,2022,2420,3126.1669421487604,100.0,0.8830578512396694,0.10826446280991736,0.02824730308972887,0.10826446280991736,3.8327362603789203,-70.65090308842015,-0.07648982069903337,-2.7161223690258076,15.519603449827446,18.235725818853254,15.645514162389285,18.36163653141509,18.34433521521576,0.1259107125618364
published_top100,entry_within_200bps,2022,2420,3126.1669421487604,100.0,2.257438016528926,0.47768595041322315,0.07221105137070137,0.47768595041322315,6.61513634472628,12.35941939544075,0.0590392100046674,-2.7161223690258076,15.519603449827446,18.235725818853254,15.600383039192186,18.316505408217992,18.286570543398685,0.08077958936473806
published_top100,daily_closes_up_limit,2022,2420,3126.1669421487604,100.0,27.284710743801654,4.876446280991735,0.8727848271931248,4.876446280991735,5.587226231549399,803.139462902708,39.1646644698961,-2.7161223690258076,15.519603449827446,18.235725818853254,-22.049963494895756,-19.33384112586995,-11.354990386357228,-37.569566944723206
published_top100,daily_up_limit_not_current_within_100bps,2022,2420,3126.1669421487604,100.0,26.727272727272727,4.830165289256199,0.8549534692763985,4.830165289256199,5.649623591029199,807.677627932918,39.012164433503635,-2.7161223690258076,15.519603449827446,18.235725818853254,-21.902246387832697,-19.186124018806893,-11.252864929897058,-37.42184983766015
scoreable_pool,decision_no_offer,2022,2420,3126.1669421487604,100.0,0.05578512396694215,0.0,0.0017844576121260637,0.0,0.0,,0.0,-2.7161223690258076,15.519603449827446,18.235725818853254,15.519603449827446,18.235725818853254,18.23493778335439,0.0
scoreable_pool,decision_at_limit,2022,2420,3126.1669421487604,100.0,0.13429752066115702,0.0,0.004295916473636819,0.0,0.0,,0.0,-2.7161223690258076,15.519603449827446,18.235725818853254,15.519603449827446,18.235725818853254,18.229826621801863,0.0
