scope,condition,month,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
published_top100,decision_no_offer,2022-01,190,3028.5526315789475,100.0,0.04736842105263158,0.0,0.0015640613459616804,0.0,0.0,,0.0,-97.82139354612725,-89.59719833285584,8.224195213271415,-89.59719833285584,8.224195213271415,8.226048359499424,0.0
published_top100,decision_no_offer,2022-02,160,3027.7875,100.0,0.0625,0.0,0.002064213555277575,0.0,0.0,,0.0,50.236680908886015,123.11681541615073,72.88013450726473,123.11681541615073,72.88013450726473,72.87922197917639,0.0
published_top100,decision_no_offer,2022-03,230,3042.9217391304346,100.0,0.06956521739130435,0.0,0.002286132321338759,0.0,0.0,,0.0,-39.49142935510972,-2.548555988699631,36.942873366410076,-2.548555988699631,36.942873366410076,36.94205986831634,0.0
published_top100,decision_no_offer,2022-04,190,3057.8105263157895,100.0,0.05263157894736842,0.0,0.0017212177960150366,0.0,0.0,,0.0,-94.36196408632851,-79.1520298229943,15.209934263334238,-79.1520298229943,15.209934263334238,15.209847470118266,0.0
published_top100,decision_no_offer,2022-05,190,3061.5263157894738,100.0,0.05263157894736842,0.0,0.0017191287455517546,0.0,0.0,,0.0,98.8709186169206,103.47674599143637,4.605827374515759,103.47674599143637,4.605827374515759,4.603774601296898,0.0
published_top100,decision_no_offer,2022-06,210,3109.114285714286,100.0,0.06190476190476191,0.0,0.001991073862713926,0.0,0.0,,0.0,61.11164780080076,94.1883826387304,33.076734837929635,94.1883826387304,33.076734837929635,33.075561344462976,0.0
published_top100,decision_at_limit,2022-01,190,3028.5526315789475,100.0,0.12105263157894737,0.0,0.0039970456619020725,0.0,0.0,,0.0,-97.82139354612725,-89.59719833285584,8.224195213271415,-89.59719833285584,8.224195213271415,8.21994967492168,0.0
published_top100,decision_at_limit,2022-02,160,3027.7875,100.0,0.1375,0.0,0.004541269821610665,0.0,0.0,,0.0,50.236680908886015,123.11681541615073,72.88013450726473,123.11681541615073,72.88013450726473,72.87490757632992,0.0
published_top100,decision_at_limit,2022-03,230,3042.9217391304346,100.0,0.16956521739130434,0.0,0.005572447533263226,0.0,0.0,,0.0,-39.49142935510972,-2.548555988699631,36.942873366410076,-2.548555988699631,36.942873366410076,36.92554197235433,0.0
published_top100,decision_at_limit,2022-04,190,3057.8105263157895,100.0,0.09473684210526316,0.0,0.0030981920328270658,0.0,0.0,,0.0,-94.36196408632851,-79.1520298229943,15.209934263334238,-79.1520298229943,15.209934263334238,15.199822210637079,0.0
published_top100,decision_at_limit,2022-05,190,3061.5263157894738,100.0,0.15263157894736842,0.0,0.004985473362100088,0.0,0.0,,0.0,98.8709186169206,103.47674599143637,4.605827374515759,103.47674599143637,4.605827374515759,4.595548979717602,0.0
published_top100,decision_at_limit,2022-06,210,3109.114285714286,100.0,0.1761904761904762,0.0,0.005666902532339634,0.0,0.0,,0.0,61.11164780080076,94.1883826387304,33.076734837929635,94.1883826387304,33.076734837929635,33.08116797149257,0.0
published_top100,decision_at_limit_with_offer,2022-01,190,3028.5526315789475,100.0,0.07368421052631578,0.0,0.002432984315940392,0.0,0.0,,0.0,-97.82139354612725,-89.59719833285584,8.224195213271415,-89.59719833285584,8.224195213271415,8.218096528693668,0.0
published_top100,decision_at_limit_with_offer,2022-02,160,3027.7875,100.0,0.075,0.0,0.0024770562663330897,0.0,0.0,,0.0,50.236680908886015,123.11681541615073,72.88013450726473,123.11681541615073,72.88013450726473,72.87581948663924,0.0
published_top100,decision_at_limit_with_offer,2022-03,230,3042.9217391304346,100.0,0.1,0.0,0.0032863152119244664,0.0,0.0,,0.0,-39.49142935510972,-2.548555988699631,36.942873366410076,-2.548555988699631,36.942873366410076,36.926355528295645,0.0
published_top100,decision_at_limit_with_offer,2022-04,190,3057.8105263157895,100.0,0.042105263157894736,0.0,0.0013769742368120294,0.0,0.0,,0.0,-94.36196408632851,-79.1520298229943,15.209934263334238,-79.1520298229943,15.209934263334238,15.19990900385305,0.0
published_top100,decision_at_limit_with_offer,2022-05,190,3061.5263157894738,100.0,0.1,0.0,0.0032663446165483332,0.0,0.0,,0.0,98.8709186169206,103.47674599143637,4.605827374515759,103.47674599143637,4.605827374515759,4.597601531537492,0.0
