scope,condition,clock,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
published_top100,decision_no_offer,09:31,969,3366.3642930856554,100.0,0.12693498452012383,0.0,0.0037706847348886745,0.0,0.0,,0.0,12.08094938591074,33.867445967696845,21.7864965817861,33.867445967696845,21.7864965817861,21.779044640936082,0.0
published_top100,decision_no_offer,09:32,969,3359.075335397317,100.0,0.10113519091847266,0.0,0.0030108044869589156,0.0,0.0,,0.0,13.107300496115242,35.685510405568614,22.578209909453374,35.685510405568614,22.578209909453374,22.57645645237123,0.0
published_top100,decision_no_offer,09:33,969,3352.3653250773996,100.0,0.09287925696594428,0.0,0.0027705589325590545,0.0,0.0,,0.0,12.158557548603186,32.82412107542393,20.665563526820744,32.82412107542393,20.665563526820744,20.66647292020989,0.0
published_top100,decision_no_offer,09:34,969,3341.9731682146544,100.0,0.07430340557275542,0.0,0.00222333938163991,0.0,0.0,,0.0,12.19526606409853,30.32557502689261,18.130308962794082,30.32557502689261,18.130308962794082,18.129162462936,0.0
published_top100,decision_no_offer,09:35,969,3341.5407636738905,100.0,0.08668730650154799,0.0,0.0025942316024970095,0.0,0.0,,0.0,11.721873312959445,28.34739226860814,16.625518955648698,28.34739226860814,16.625518955648698,16.62535566264388,0.0
published_top100,decision_no_offer,09:36,969,3330.7430340557275,100.0,0.07223942208462332,0.0,0.0021688680677554384,0.0,0.0,,0.0,11.147573340172695,27.681430253209665,16.53385691303697,27.681430253209665,16.53385691303697,16.530945435221824,0.0
published_top100,decision_no_offer,09:37,969,3318.656346749226,100.0,0.06398348813209494,0.0,0.0019279937856406756,0.0,0.0,,0.0,10.583675161101725,27.10959155093119,16.525916389829465,27.10959155093119,16.525916389829465,16.526683382096554,0.0
published_top100,decision_no_offer,09:38,969,3311.533539731682,100.0,0.05263157894736842,0.0,0.0015893415638373062,0.0,0.0,,0.0,10.338433283938315,24.190091788083745,13.851658504145428,24.190091788083745,13.851658504145428,13.849840761113734,0.0
published_top100,decision_no_offer,09:39,969,3307.1630546955626,100.0,0.0608875128998968,0.0010319917440660474,0.0018410798588671866,0.0010319917440660476,0.5605361109653496,-344.0516719095832,-0.0035505848494281032,9.669375929469336,22.225458252294665,12.556082322825326,22.232763488998497,12.563387559529158,12.564567216045816,0.0073052367038322075
published_top100,decision_no_offer,09:40,969,3309.529411764706,100.0,0.0412796697626419,0.0,0.001247297262743792,0.0,0.0,,0.0,9.44682360263554,21.907234247537193,12.460410644901652,21.907234247537193,12.460410644901652,12.461453703535284,0.0
published_top100,decision_at_limit,09:31,969,3366.3642930856554,100.0,0.23323013415892674,0.0,0.00692825000068976,0.0,0.0,,0.0,12.08094938591074,33.867445967696845,21.7864965817861,33.867445967696845,21.7864965817861,21.774253293993258,0.0
published_top100,decision_at_limit,09:32,969,3359.075335397317,100.0,0.2002063983488132,0.0,0.005960163984388057,0.0,0.0,,0.0,13.107300496115242,35.685510405568614,22.578209909453374,35.685510405568614,22.578209909453374,22.57374055848771,0.0
published_top100,decision_at_limit,09:33,969,3352.3653250773996,100.0,0.1867905056759546,0.0010319917440660474,0.005571901853257654,0.0010319917440660476,0.18521355387167954,873.3087677155548,0.009012474383029462,12.158557548603186,32.82412107542393,20.665563526820744,32.816050662490596,20.657493113887412,20.656086054482422,-0.008070412933331994
published_top100,decision_at_limit,09:34,969,3341.9731682146544,100.0,0.18782249742002063,0.0,0.005620107881367552,0.0,0.0,,0.0,12.19526606409853,30.32557502689261,18.130308962794082,30.32557502689261,18.130308962794082,18.12743083340231,0.0
published_top100,decision_at_limit,09:35,969,3341.5407636738905,100.0,0.19298245614035087,0.0,0.0057752536865112005,0.0,0.0,,0.0,11.721873312959445,28.34739226860814,16.625518955648698,28.34739226860814,16.625518955648698,16.626191359225864,0.0
published_top100,decision_at_limit,09:36,969,3330.7430340557275,100.0,0.19195046439628483,0.0,0.005762992294321593,0.0,0.0,,0.0,11.147573340172695,27.681430253209665,16.53385691303697,27.681430253209665,16.53385691303697,16.533881870935215,0.0
published_top100,decision_at_limit,09:37,969,3318.656346749226,100.0,0.1785345717234262,0.0030959752321981426,0.0053797245954167235,0.0030959752321981426,0.5754895398987097,-305.6417657459365,-0.009462593366747258,10.583675161101725,27.10959155093119,16.525916389829465,27.103228173779783,16.51955301267806,16.522168161636422,-0.006363377151405558
published_top100,decision_at_limit,09:38,969,3311.533539731682,100.0,0.14654282765737875,0.0010319917440660474,0.004425225530684264,0.0010319917440660476,0.23320658730504806,126.58215432457042,0.00130631738209051,10.338433283938315,24.190091788083745,13.851658504145428,24.189362921587538,13.850929637649221,13.85072418824051,-0.0007288664962068481
published_top100,decision_at_limit,09:39,969,3307.1630546955626,100.0,0.15479876160990713,0.0010319917440660474,0.0046807115055945425,0.0010319917440660476,0.22047753697970418,-344.0516719095832,-0.0035505848494281032,9.669375929469336,22.225458252294665,12.556082322825326,22.232763488998497,12.563387559529158,12.561191829090902,0.0073052367038322075
published_top100,decision_at_limit,09:40,969,3309.529411764706,100.0,0.1393188854489164,0.0030959752321981426,0.004209628261760298,0.0030959752321981426,0.7354509803921568,-68.35654321299178,-0.0021163016474610454,9.44682360263554,21.907234247537193,12.460410644901652,21.923117645259733,12.476294042624193,12.477049026990507,0.01588339772254166
published_top100,decision_at_limit_with_offer,09:31,969,3366.3642930856554,100.0,0.10939112487100103,0.0,0.003249533186164223,0.0,0.0,,0.0,12.08094938591074,33.867445967696845,21.7864965817861,33.867445967696845,21.7864965817861,21.78195515953613,0.0
published_top100,decision_at_limit_with_offer,09:32,969,3359.075335397317,100.0,0.1001031991744066,0.0,0.0029800819921940286,0.0,0.0,,0.0,13.107300496115242,35.685510405568614,22.578209909453374,35.685510405568614,22.578209909453374,22.57548145820843,0.0
published_top100,decision_at_limit_with_offer,09:33,969,3352.3653250773996,100.0,0.09391124871001032,0.0010319917440660474,0.0028013429206986,0.0010319917440660476,0.3683917939645494,873.3087677155548,0.009012474383029462,12.158557548603186,32.82412107542393,20.665563526820744,32.816050662490596,20.657493113887412,20.65516345852932,-0.008070412933331994
published_top100,decision_at_limit_with_offer,09:34,969,3341.9731682146544,100.0,0.11351909184726522,0.0,0.0033967684997276413,0.0,0.0,,0.0,12.19526606409853,30.32557502689261,18.130308962794082,30.32557502689261,18.130308962794082,18.128565408877126,0.0
published_top100,decision_at_limit_with_offer,09:35,969,3341.5407636738905,100.0,0.10732714138286893,0.0,0.003211905793567726,0.0,0.0,,0.0,11.721873312959445,28.34739226860814,16.625518955648698,28.34739226860814,16.625518955648698,16.626917194344486,0.0
published_top100,decision_at_limit_with_offer,09:36,969,3330.7430340557275,100.0,0.1197110423116615,0.0,0.0035941242265661554,0.0,0.0,,0.0,11.147573340172695,27.681430253209665,16.53385691303697,27.681430253209665,16.53385691303697,16.536782768041803,0.0
published_top100,decision_at_limit_with_offer,09:37,969,3318.656346749226,100.0,0.11558307533539731,0.0030959752321981426,0.0034828274837379945,0.0030959752321981426,0.8889258071649713,-305.6417657459365,-0.009462593366747258,10.583675161101725,27.10959155093119,16.525916389829465,27.103228173779783,16.51955301267806,16.52151053276244,-0.006363377151405558
