sample,scope,halfyear,selected_limit_share_pct,close_to_next_open_candidate_raw_bps,close_to_next_open_selected_raw_bps,close_to_next_open_selected_excess_bps,close_to_next_open_selected_limit_raw_bps,close_to_next_open_candidate_limit_raw_bps,close_to_next_open_selected_limit_vs_limit_bps,close_to_next_open_selected_nonlimit_raw_bps,close_to_next_open_selected_limit_valid_rows,next_open_to_next_close_candidate_raw_bps,next_open_to_next_close_selected_raw_bps,next_open_to_next_close_selected_excess_bps,next_open_to_next_close_selected_limit_raw_bps,next_open_to_next_close_candidate_limit_raw_bps,next_open_to_next_close_selected_limit_vs_limit_bps,next_open_to_next_close_selected_nonlimit_raw_bps,next_open_to_next_close_selected_limit_valid_rows,close_to_next_close_candidate_raw_bps,close_to_next_close_selected_raw_bps,close_to_next_close_selected_excess_bps,close_to_next_close_selected_limit_raw_bps,close_to_next_close_candidate_limit_raw_bps,close_to_next_close_selected_limit_vs_limit_bps,close_to_next_close_selected_nonlimit_raw_bps,close_to_next_close_selected_limit_valid_rows
2022-2025,all_a,2022H1,7.383760683760684,-16.11784288043275,-77.36622248204458,-61.24837960161184,110.48368445257971,129.54255168600858,-19.247065836281294,-92.62338590958002,7.409090909090909,5.245331269027789,36.323541503471326,31.07821023444354,19.441905058744222,8.351146165292889,11.279122834108813,39.00076388096342,7.409090909090909,-11.24049,-42.407467,-31.166973,125.27783,134.13441,-8.856186,-54.711143,7.409090909090909
2022-2025,all_a,2022H2,6.4496,-5.029053629531713,-52.348009311048216,-47.3189556815165,95.47404103019933,135.01178284093427,-39.714617794287136,-63.782043885573735,6.470304975922954,4.742183285886072,33.01945785200539,28.277274566119317,16.583427817535362,-15.115179122665024,31.955374760963526,34.9010201424037,6.470304975922954,-0.6007545,-20.387281,-19.786526,108.5971,116.819824,-8.136384,-29.75257,6.470304975922954
2022-2025,all_a,2023H1,4.835593220338983,-6.0018416307388645,-52.90457750299132,-46.90273587225246,100.06103977779725,134.87416018913967,-34.41883847961035,-61.44206773848539,4.902061855670103,9.46091770890035,41.02587104630468,31.564953337404326,24.822250844123467,7.178029750031917,17.175260423029897,42.01316414602903,4.902061855670103,3.316434,-12.574002,-15.890436,122.09779,139.87703,-17.84695,-20.004026,4.902061855670103
2022-2025,all_a,2023H2,5.269354838709678,-2.4940189816923626,-64.79122902962013,-62.29721004792776,119.06400227054144,149.67072495110685,-30.584641002974017,-75.2905780652972,5.31219512195122,-0.11545522579696949,26.770231810198148,26.885687035995115,6.431606273771359,-4.898759715021152,11.836463124605025,28.410164697427366,5.31219512195122,-2.9853048,-39.432816,-36.44751,121.941795,141.25319,-18.777729,-48.14219,5.31219512195122
2022-2025,all_a,2024H1,5.717094017094017,-18.8915992467963,-98.04723457244842,-79.15563532565211,111.2588594357919,130.5503880183106,-20.84221604927326,-110.54661293471919,5.857267950963222,0.41571750105604827,36.85104746566083,36.43532996460478,-16.213465746249717,-5.759530957856189,-10.173927493634583,40.164298880945,5.857267950963222,-18.723524,-62.205624,-43.4821,91.27607,121.4706,-31.518211,-71.249916,5.857267950963222
2022-2025,all_a,2024H2,7.1808,4.2713941333828185,-80.31288357436365,-84.58427770774648,151.8562456761144,168.81662664186442,-17.777244507533926,-98.85417684560052,7.273905996758509,13.600241398865563,47.777235324981,34.176993926115436,-12.226966646515113,6.243272948011277,-19.769087246787265,51.12680118761709,7.273905996758509,17.536695,-33.786896,-51.323593,134.46228,171.56848,-39.222687,-48.76076,7.273905996758509
2022-2025,all_a,2025H1,6.339316239316239,-12.4973083611248,-69.33389116315897,-56.83658280203416,81.59043446214382,132.9067078454009,-51.638286824002016,-80.51067570930327,6.371993127147766,25.624967705916326,48.288981716729594,22.66401401081327,65.66730470643952,20.283254257306154,49.24351922035899,48.21033776412562,6.371993127147766,13.156557,-22.124817,-35.281372,142.27693,150.22256,-4.448814,-33.146492,6.371993127147766
2022-2025,all_a,2025H2,5.781746031746032,-4.773390157736222,-49.95637830405501,-45.182988146318785,145.89855584152554,163.3916955541529,-18.503468461011924,-62.87447585950523,5.870265914585012,18.7998304062818,39.85557647739562,21.05574607111382,-19.36236772800434,-12.868367972510432,-5.972014324555432,42.819794579024126,5.870265914585012,13.798263,-11.039267,-24.83753,123.69066,147.9574,-24.7605,-20.861433,5.870265914585012
2022-2025,pool_L,2022H1,4.616239316239316,-6.532037400848238,-23.92796979424539,-17.395932393397153,154.54610348622384,155.14954617099096,-1.096599861576948,-32.540488610622624,4.680242634315425,5.89237538995716,29.621100027032462,23.7287246370753,36.72098254566544,25.253624619863114,11.677411374536293,29.86582670773551,4.680242634315425,-0.95764965,4.7895646,5.747215,188.10307,177.55624,10.240711,-3.4582002,4.680242634315425
2022-2025,pool_L,2022H2,3.964,1.2902094901053287,-11.847570838870277,-13.137780328975607,141.86853632720283,161.09181065791083,-19.174858627718045,-18.740244120808466,4.181434599156118,5.141893947665763,14.41988221500748,9.277988267341717,-10.17977616619866,-22.9214546848008,9.32809096429999,15.049819428839237,4.181434599156118,6.1514754,1.9846317,-4.166844,128.54184,134.77306,-9.685316,-4.1633334,4.181434599156118
