sample,scope,selected_limit_share_pct,close_to_next_open_candidate_raw_bps,close_to_next_open_selected_raw_bps,close_to_next_open_selected_excess_bps,close_to_next_open_selected_limit_raw_bps,close_to_next_open_candidate_limit_raw_bps,close_to_next_open_selected_limit_vs_limit_bps,close_to_next_open_selected_nonlimit_raw_bps,close_to_next_open_selected_limit_valid_rows,next_open_to_next_close_candidate_raw_bps,next_open_to_next_close_selected_raw_bps,next_open_to_next_close_selected_excess_bps,next_open_to_next_close_selected_limit_raw_bps,next_open_to_next_close_candidate_limit_raw_bps,next_open_to_next_close_selected_limit_vs_limit_bps,next_open_to_next_close_selected_nonlimit_raw_bps,next_open_to_next_close_selected_limit_valid_rows,close_to_next_close_candidate_raw_bps,close_to_next_close_selected_raw_bps,close_to_next_close_selected_excess_bps,close_to_next_close_selected_limit_raw_bps,close_to_next_close_candidate_limit_raw_bps,close_to_next_close_selected_limit_vs_limit_bps,close_to_next_close_selected_nonlimit_raw_bps,close_to_next_close_selected_limit_valid_rows
2022-2025,all_a,6.120536635706914,-7.504561475942018,-67.89412545250626,-60.38956397656425,114.86220949647715,143.46871453534166,-29.04118385673634,-80.52481542384321,6.186293939710024,9.725611440793497,38.69266107476728,28.96704963397378,10.320264698265223,0.1914534539195298,10.578201177413249,40.796808499967014,6.186293939710024,1.9713751,-30.303877,-32.275253,121.286156,140.55095,-19.258944,-40.6485,6.186293939710024
2022-2025,pool_L,3.821155830753354,-0.3093136838943828,-16.702252811152803,-16.39293912725842,158.0264924008793,174.83033744565793,-17.78166349622303,-23.93054525364076,4.026424532405394,10.431307096542106,26.060137746998407,15.6288306504563,-1.0977223389428075,-2.268974870281294,2.797783512109942,27.156845786029017,4.026424532405394,9.921967,8.755417,-1.1665498,153.48079,169.67622,-15.574471,2.7218182,4.026424532405394
2026H1,all_a,6.665454545454545,-6.228205987349976,-47.072023792934544,-40.84381780558457,115.26346813736852,181.92153059700732,-66.70544910384048,-61.21483979253098,6.6715195632393085,10.049070684141034,43.282672215253484,33.23360153111245,23.9324775495803,9.47222580795265,14.4418936508965,46.29257802397628,6.558689717925387,2.3423476,-5.2448416,-7.587189,136.19662,134.22751,1.89553,-16.041964,6.558689717925387
