universe,days,mean_n,daily_rank_ic,top100_return_bps,base_return_bps,top100_excess_bps,positive_days,positive_months,median_daily_excess_bps,p05_daily_excess_bps,p95_daily_excess_bps,cap95_excess_bps,cap99_excess_bps
all_a,969,4992.7,0.080573169,29.9368,4.4845,25.4523,631,40,21.4179,-86.7950,146.1494,9.3158,24.0218
pool_l,969,3391.8,0.057214859,23.0713,11.9121,11.1592,575,36,9.0554,-67.3700,102.6809,8.5268,10.6143
