Exit code: 0
Wall time: 0 seconds
Output:
policy,pool,unit,omitted_period,omitted_period_net_bps,remaining_cumulative_net_bps
capacity_only,pool_L,month,2022-01,-988.9464193336071,10206.812934364229
capacity_only,pool_L,month,2022-02,900.4074315790759,8317.459083451546
capacity_only,pool_L,month,2022-03,-153.39507022057865,9371.2615852512
capacity_only,pool_L,month,2022-04,-747.2906035996043,9965.157118630226
capacity_only,pool_L,month,2022-05,832.9958843056575,8384.870630724965
capacity_only,pool_L,month,2022-06,967.2585220475303,8250.607992983092
capacity_only,pool_L,month,2022-07,587.3952158764116,8630.471299154211
capacity_only,pool_L,month,2022-08,-537.0256986193309,9754.892213649953
capacity_only,pool_L,month,2022-09,-880.914116021879,10098.780631052501
capacity_only,pool_L,month,2022-10,515.4775155366377,8702.388999493985
capacity_only,pool_L,month,2022-11,439.1334603562439,8778.733054674378
capacity_only,pool_L,month,2022-12,-311.7672679004746,9529.633782931098
capacity_only,pool_L,month,2023-01,573.8655070533765,8644.001007977246
capacity_only,pool_L,month,2023-02,296.23183146900715,8921.634683561615
capacity_only,pool_L,month,2023-03,260.22322039376684,8957.643294636855
capacity_only,pool_L,month,2023-04,303.0524118448907,8914.814103185732
capacity_only,pool_L,month,2023-05,325.67273073982057,8892.193784290801
capacity_only,pool_L,month,2023-06,438.8893081100154,8778.977206920606
capacity_only,pool_L,month,2023-07,-328.0090281654019,9545.875543196024
capacity_only,pool_L,month,2023-08,-157.59780104867932,9375.464316079302
capacity_only,pool_L,month,2023-09,117.171550837878,9100.694964192744
capacity_only,pool_L,month,2023-10,-5.017421026266739,9222.883936056889
capacity_only,pool_L,month,2023-11,373.9541894983971,8843.912325532225
capacity_only,pool_L,month,2023-12,-152.30154383934416,9370.168058869967
capacity_only,pool_L,month,2024-01,-1910.4056523284194,11128.272167359042
capacity_only,pool_L,month,2024-02,1751.6581826531356,7466.208332377487
capacity_only,pool_L,month,2024-03,639.1236877871609,8578.74282724346
capacity_only,pool_L,month,2024-04,60.596908049725336,9157.269606980897
capacity_only,pool_L,month,2024-05,-269.9418622201847,9487.808377250807
capacity_only,pool_L,month,2024-06,-466.4980734789087,9684.36458850953
capacity_only,pool_L,month,2024-07,87.49311372626309,9130.37340130436
capacity_only,pool_L,month,2024-08,-762.3407173538287,9980.207232384451
capacity_only,pool_L,month,2024-09,2552.3940074806706,6665.472507549952
capacity_only,pool_L,month,2024-10,135.9094056135875,9081.957109417035
capacity_only,pool_L,month,2024-11,483.94186815580713,8733.924646874815
capacity_only,pool_L,month,2024-12,-466.7846657525205,9684.651180783143
capacity_only,pool_L,month,2025-01,200.13616838890525,9017.730346641718
capacity_only,pool_L,month,2025-02,1245.8908555757118,7971.975659454911
capacity_only,pool_L,month,2025-03,-119.26222793306505,9337.128742963687
capacity_only,pool_L,month,2025-04,254.00010366908924,8963.866411361532
