case,window,horizon,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w0931_0940_h5m,09:31-09:40,5m,universe,2025,H2,6,17.082428,-2.55423967995008,0.0678554416209346,0.0076847152118068,6,3
w0931_0940_h5m,09:31-09:40,5m,pool_L,2022,H1,6,23.178133,35.58755065730016,0.1040278441579974,0.0212194393098956,6,6
w0931_0940_h5m,09:31-09:40,5m,pool_L,2022,H2,6,16.069605,12.621212121194864,0.0915725023050254,0.0208242081819825,6,4
w0931_0940_h5m,09:31-09:40,5m,pool_L,2023,H1,6,14.308517,34.99465706212112,0.0812350077410618,0.0177049634242264,6,6
w0931_0940_h5m,09:31-09:40,5m,pool_L,2023,H2,6,13.171147,13.731275921777565,0.0750114726241556,-0.0022627023435742,6,5
w0931_0940_h5m,09:31-09:40,5m,pool_L,2024,H1,6,12.468726,21.64765641474487,0.0689184724250669,0.0213284742247727,6,4
w0931_0940_h5m,09:31-09:40,5m,pool_L,2024,H2,6,12.520962,13.394024347031232,0.0805317185641216,-0.0018837269795473,6,4
w0931_0940_h5m,09:31-09:40,5m,pool_L,2025,H1,6,7.2256913,17.410519805747132,0.060895084524923,0.0045467198711178,6,4
w0931_0940_h5m,09:31-09:40,5m,pool_L,2025,H2,6,8.838983,16.526923729208008,0.0604586343698396,0.005029028435329,6,4
w0931_0940_h10m,09:31-09:40,10m,universe,2022,H1,6,45.534412,26.109565355303573,0.096926857574645,0.0287309726512249,6,5
w0931_0940_h10m,09:31-09:40,10m,universe,2022,H2,6,34.609608,15.091715347167316,0.0817913883554957,0.0230006993629482,6,5
w0931_0940_h10m,09:31-09:40,10m,universe,2023,H1,6,25.78305,27.8261886806368,0.0702999570064808,0.0252646281908531,6,5
w0931_0940_h10m,09:31-09:40,10m,universe,2023,H2,6,30.632067,0.7753442773538382,0.0702791468918473,0.0056968403621349,6,2
w0931_0940_h10m,09:31-09:40,10m,universe,2024,H1,6,26.505636,7.427598205051743,0.0556489820572122,0.0262158717948995,6,3
w0931_0940_h10m,09:31-09:40,10m,universe,2024,H2,6,30.783325,-0.3285103363202377,0.0589814235557037,0.0039554592787833,6,3
w0931_0940_h10m,09:31-09:40,10m,universe,2025,H1,6,20.930399,-4.32999915779795,0.0466254027868816,0.0067634196028394,6,3
w0931_0940_h10m,09:31-09:40,10m,universe,2025,H2,6,15.787201,-2.89023688747441,0.0500571566259811,0.0008363752368711,6,3
w0931_0940_h10m,09:31-09:40,10m,pool_L,2022,H1,6,26.230265,38.69326782668054,0.0829803993678092,0.0246114712522335,6,6
w0931_0940_h10m,09:31-09:40,10m,pool_L,2022,H2,6,17.778316,15.59037102521854,0.0696309446010045,0.0196289522476154,6,4
w0931_0940_h10m,09:31-09:40,10m,pool_L,2023,H1,6,15.272037,36.50195204339041,0.0595581444112224,0.017780298855293,6,6
w0931_0940_h10m,09:31-09:40,10m,pool_L,2023,H2,6,16.940178,13.119871998709904,0.0591222590943267,-0.0011596966781489,6,5
w0931_0940_h10m,09:31-09:40,10m,pool_L,2024,H1,6,9.1124735,14.193205061610447,0.0430422947261092,0.0165754195670569,6,4
w0931_0940_h10m,09:31-09:40,10m,pool_L,2024,H2,6,12.004125,16.434944536799787,0.0535563149011616,0.0035260003975996,6,5
w0931_0940_h10m,09:31-09:40,10m,pool_L,2025,H1,6,6.3521686,16.278320457186783,0.0440086588301201,0.0061623737695411,5,5
w0931_0940_h10m,09:31-09:40,10m,pool_L,2025,H2,6,9.016818,19.67932118244473,0.0462689679734599,0.0021094599923084,6,4
w0931_0940_h1h,09:31-09:40,1h,universe,2022,H1,6,58.25089,11.955631532760757,0.0534671357546381,0.0214582186534965,6,3
w0931_0940_h1h,09:31-09:40,1h,universe,2022,H2,6,42.215744,11.360680670209357,0.0443981525575728,0.0236319896772535,6,5
w0931_0940_h1h,09:31-09:40,1h,universe,2023,H1,6,31.925375,16.609613305625448,0.0314171507155957,0.0167959392982356,6,4
w0931_0940_h1h,09:31-09:40,1h,universe,2023,H2,6,39.94887,-7.366915173317253,0.0327482587812965,0.0067657967246081,6,2
w0931_0940_h1h,09:31-09:40,1h,universe,2024,H1,6,37.00769,3.37899322802681,0.0294654590472767,0.0165489484092238,6,2
w0931_0940_h1h,09:31-09:40,1h,universe,2024,H2,6,43.89557,-9.158046940155211,0.0260564155814174,0.0031228090716767,6,3
w0931_0940_h1h,09:31-09:40,1h,universe,2025,H1,6,28.373863,-17.567277282941564,0.0171387861011863,0.003621410317909,6,2
w0931_0940_h1h,09:31-09:40,1h,universe,2025,H2,6,21.579016,-3.8622224733933135,0.0187709912585738,0.0032588776453577,6,3
w0931_0940_h1h,09:31-09:40,1h,pool_L,2022,H1,6,27.238398,38.405323312124686,0.042969948750688,0.0215462035878082,6,6
w0931_0940_h1h,09:31-09:40,1h,pool_L,2022,H2,6,18.6826,14.96738868892726,0.0347952276432009,0.0204253685398654,6,5
w0931_0940_h1h,09:31-09:40,1h,pool_L,2023,H1,6,17.77976,35.24131725297307,0.0257400242048625,0.013925288290918,6,6
w0931_0940_h1h,09:31-09:40,1h,pool_L,2023,H2,6,22.461136,12.07245480469748,0.0259606929882007,0.00360543281231,6,4
w0931_0940_h1h,09:31-09:40,1h,pool_L,2024,H1,6,9.803352,14.524625501450217,0.0198102836662673,0.0105342877616466,5,4
w0931_0940_h1h,09:31-09:40,1h,pool_L,2024,H2,6,14.048148,12.444600704859525,0.0221142347962772,0.0059786365509099,6,4
w0931_0940_h1h,09:31-09:40,1h,pool_L,2025,H1,6,9.00739,16.415751855793356,0.0160722210653983,0.0069851517511567,4,4
w0931_0940_h1h,09:31-09:40,1h,pool_L,2025,H2,6,15.328106,20.72143701948133,0.0189411355857908,0.0062592770608831,6,5
w0931_0940_hclose,09:31-09:40,close,universe,2022,H1,6,58.19748,27.057196373290854,0.0503430453926072,0.0369171244753406,6,4
w0931_0940_hclose,09:31-09:40,close,universe,2022,H2,6,41.266766,21.435697058694924,0.0396811704092658,0.0261797290549762,6,5
w0931_0940_hclose,09:31-09:40,close,universe,2023,H1,6,39.44479,22.17517128806843,0.0308914343444512,0.0227512743096604,6,5
w0931_0940_hclose,09:31-09:40,close,universe,2023,H2,6,37.457775,0.0780433735541731,0.030042535711254,0.0161602457098543,6,3
w0931_0940_hclose,09:31-09:40,close,universe,2024,H1,6,54.286083,14.087653654621228,0.0376329691566403,0.0233142305967248,6,2
w0931_0940_hclose,09:31-09:40,close,universe,2024,H2,6,42.04624,-8.629868876271765,0.0290419618252755,0.014280877072407,6,3
w0931_0940_hclose,09:31-09:40,close,universe,2025,H1,6,31.824255,-2.7229673743381766,0.014549142120838,0.0083854103939455,6,3
w0931_0940_hclose,09:31-09:40,close,universe,2025,H2,6,26.182531,1.255671574086173,0.0189758787943327,0.0105523575178558,6,3
w0931_0940_hclose,09:31-09:40,close,pool_L,2022,H1,6,36.44679,42.56817525627702,0.041132501708485,0.0310218137447272,6,6
w0931_0940_hclose,09:31-09:40,close,pool_L,2022,H2,6,19.3277,15.218034713961254,0.0308466346160669,0.0204946671240873,6,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2023,H1,6,23.454676,29.767781244511745,0.0218117557014522,0.0139820709506227,6,5
w0931_0940_hclose,09:31-09:40,close,pool_L,2023,H2,6,19.00944,10.583981465704564,0.0200829267182645,0.0079271727953716,6,4
