variant,scope,bucket_count,bucket,groups,mean_excess_bps,mean_within_group_outcome_rank_pct,x
ds350_w0931_0940_h1m_max30,pool_L,10,1,9690,10.332953592621259,0.4944027025239122,5.0
ds350_w0931_0940_h1m_max30,pool_L,10,2,9690,2.8361789699432403,0.5031933185527139,15.0
ds350_w0931_0940_h1m_max30,pool_L,10,3,9690,0.7293528585365067,0.5042141774855572,25.0
ds350_w0931_0940_h1m_max30,pool_L,10,4,9690,0.11885777208704205,0.5044525827724025,35.0
ds350_w0931_0940_h1m_max30,pool_L,10,5,9690,-0.07611178466041021,0.5046350739915983,45.0
ds350_w0931_0940_h1m_max30,pool_L,10,6,9690,-0.18902361134626547,0.5042620199727758,55.0
ds350_w0931_0940_h1m_max30,pool_L,10,7,9690,-0.5322751890641125,0.5032258685007185,65.0
ds350_w0931_0940_h1m_max30,pool_L,10,8,9690,-0.8796910273155315,0.5015824765868427,75.0
ds350_w0931_0940_h1m_max30,pool_L,10,9,9690,-1.9779702012383902,0.49804470537571,85.0
ds350_w0931_0940_h1m_max30,pool_L,10,10,9690,-10.390113841589267,0.4834572937555298,95.0
ds350_w0931_0940_h1m_max30,pool_L,20,1,9690,14.547405508255935,0.4889800863177397,2.5
ds350_w0931_0940_h1m_max30,pool_L,20,2,9690,6.106454382739938,0.49984207650714196,7.5
ds350_w0931_0940_h1m_max30,pool_L,20,3,9690,3.4565966847265224,0.5025419601076978,12.5
ds350_w0931_0940_h1m_max30,pool_L,20,4,9690,2.2141138980263158,0.503843470421148,17.5
ds350_w0931_0940_h1m_max30,pool_L,20,5,9690,0.7831723365744324,0.5038709095721544,22.5
ds350_w0931_0940_h1m_max30,pool_L,20,6,9690,0.6748611749387254,0.5045568869698935,27.5
ds350_w0931_0940_h1m_max30,pool_L,20,7,9690,0.17787805012013028,0.5044161862154039,32.5
ds350_w0931_0940_h1m_max30,pool_L,20,8,9690,0.05913848089605908,0.5044889884454656,37.5
