pool,variant,run_id,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months,short_positive_clocks,next_positive_clocks
universe,w0931_0940_h1m,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,4948.55221878225,100.0,-8.59841,15.050674,23.649084,2.3825026422007927,4.979347856666952,2.5968452144661596,0.1621779849611688,0.014008633233894043,48,24,10,6
pool_L,w0931_0940_h1m,nn_ds350_w0931_0940_h1m_36m_grouped_gated_v2_mse_max30_v1,9690,48,3373.667285861713,100.0,-8.254118,3.706779,11.960897,11.158507185691578,28.771730163391247,17.613222977699667,0.1474714733070567,0.00932318511556071,48,37,10,10
