pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
universe,2022,H1,6,35.175797,8.069513223453226,0.1830700372861601,0.019509778067670836,6,2
universe,2022,H2,6,27.577501,7.149004958959921,0.16704875182858844,0.0131820444917845,6,3
universe,2023,H1,6,23.38819,24.41430119438517,0.16567667868305266,0.02145607730261133,6,5
universe,2023,H2,6,21.30047,-2.7467963998143055,0.15698917371864515,-0.0008752606665492442,6,2
universe,2024,H1,6,24.982735,8.065568274232296,0.15845408881699993,0.029309867819536855,6,3
universe,2024,H2,6,25.690588,2.3324276749959103,0.16493070041781918,0.002428687719247896,6,2
universe,2025,H1,6,16.651056,-9.526333661758509,0.1362755820505611,0.009131056048963552,6,2
universe,2025,H2,6,12.626637,-7.467037685832142,0.13040795075944986,0.015244719846457295,6,3
pool_L,2022,H1,6,18.685116,26.81482658227252,0.1628943585540279,0.015050470302273985,6,6
pool_L,2022,H2,6,14.394009,11.599945505828522,0.14619620095981767,0.0111156263121732,6,4
pool_L,2023,H1,6,12.811893,34.68620183589805,0.14778498648501534,0.014697973349239802,6,6
pool_L,2023,H2,6,9.183008,9.669877419757055,0.13597263778758226,-0.009517114320646025,6,5
pool_L,2024,H1,6,12.620099,23.483833333427857,0.14466281847782572,0.02506043817000447,6,5
pool_L,2024,H2,6,12.284337,12.757024569469337,0.15461338723524096,-0.004607375685239498,6,4
pool_L,2025,H1,6,7.239752,15.785148034236558,0.13516808275206882,0.006613024526346861,6,4
pool_L,2025,H2,6,7.2175026,13.249604354538334,0.12121471075044314,0.00797379881595279,6,4
