pool,variant,run_id,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months,short_positive_clocks,next_positive_clocks
universe,nn_v6_w0931_0940_auction_pruned_multiden_grouped_gated_v2_mech_v3_gelu_mse,nn_delay6_v6_decision_clock_state_36m_2022_2025_w0931_0940_auction_pruned_multi_denominator_grouped_gated_v2_mech_v3_gelu_mse_v1,9690,48,4884.737151702787,100.0,-8.519801,14.839606,23.359407,2.4286870664866127,5.038665031700911,2.6099779652142976,0.15833006578266404,0.013130759649227362,48,22,10,6
pool_L,nn_v6_w0931_0940_auction_pruned_multiden_grouped_gated_v2_mech_v3_gelu_mse,nn_delay6_v6_decision_clock_state_36m_2022_2025_w0931_0940_auction_pruned_multi_denominator_grouped_gated_v2_mech_v3_gelu_mse_v1,9690,48,3333.8996904024766,100.0,-8.198481,3.5558033,11.754285,11.244817039457674,29.03816731362415,17.79335027416647,0.14413169354957625,0.00783876485300213,48,38,10,10
