variant,scope,bucket_count,bucket,groups,mean_excess_bps,mean_within_group_outcome_rank_pct,x
v6_w0931_0940_multiden,pool_L,10,1,9690,10.187124133656972,0.4935499895880244,5.0
v6_w0931_0940_multiden,pool_L,10,2,9690,2.3533115439939225,0.5027462273533927,15.0
v6_w0931_0940_multiden,pool_L,10,3,9690,0.6779574474924045,0.5042636255626723,25.0
v6_w0931_0940_multiden,pool_L,10,4,9690,-0.2441848501247243,0.5042103982639513,35.0
v6_w0931_0940_multiden,pool_L,10,5,9690,-0.08388751321829678,0.50456485126656,45.0
v6_w0931_0940_multiden,pool_L,10,6,9690,-0.29509785577051223,0.5041481907229654,55.0
v6_w0931_0940_multiden,pool_L,10,7,9690,-0.24565203261690116,0.5034543444661427,65.0
v6_w0931_0940_multiden,pool_L,10,8,9690,-0.8275427866426548,0.5018253331203728,75.0
v6_w0931_0940_multiden,pool_L,10,9,9690,-2.042611728890763,0.49825874437462975,85.0
v6_w0931_0940_multiden,pool_L,10,10,9690,-9.504813507733799,0.48446901237420625,95.0
v6_w0931_0940_multiden,pool_L,20,1,9690,14.502856147426755,0.48801755937487434,2.5
v6_w0931_0940_multiden,pool_L,20,2,9690,5.859096633682124,0.49909901004101237,7.5
v6_w0931_0940_multiden,pool_L,20,3,9690,2.8370705845963493,0.5019098489345026,12.5
v6_w0931_0940_multiden,pool_L,20,4,9690,1.8699168253899836,0.5035834568899615,17.5
v6_w0931_0940_multiden,pool_L,20,5,9690,0.9341133296643508,0.5042240663204941,22.5
v6_w0931_0940_multiden,pool_L,20,6,9690,0.42226602552897025,0.504302701969049,27.5
v6_w0931_0940_multiden,pool_L,20,7,9690,-0.253056732529482,0.5040287886448861,32.5
v6_w0931_0940_multiden,pool_L,20,8,9690,-0.23588257914639224,0.5043917732410891,37.5
v6_w0931_0940_multiden,pool_L,20,9,9690,0.01462641019409455,0.5046151578626581,42.5
v6_w0931_0940_multiden,pool_L,20,10,9690,-0.18197613706027407,0.5045145290945195,47.5
v6_w0931_0940_multiden,pool_L,20,11,9690,-0.23195945935278112,0.5042619605752983,52.5
v6_w0931_0940_multiden,pool_L,20,12,9690,-0.35789402096257583,0.5040348670078584,57.5
v6_w0931_0940_multiden,pool_L,20,13,9690,-0.2040907139019052,0.5036801668345151,62.5
v6_w0931_0940_multiden,pool_L,20,14,9690,-0.2879598292977058,0.5032280338326675,67.5
v6_w0931_0940_multiden,pool_L,20,15,9690,-0.7701594135984471,0.5021457585367332,72.5
v6_w0931_0940_multiden,pool_L,20,16,9690,-0.8850437079834897,0.5015052181938675,77.5
v6_w0931_0940_multiden,pool_L,20,17,9690,-1.3140910412094502,0.49969828674322975,82.5
v6_w0931_0940_multiden,pool_L,20,18,9690,-2.771089706691638,0.4968186180704671,87.5
v6_w0931_0940_multiden,pool_L,20,19,9690,-3.888988059938645,0.49296176057926566,92.5
v6_w0931_0940_multiden,pool_L,20,20,9690,-15.138021300641311,0.4759498593460647,97.5
v6_w0931_0940_multiden,pool_L,50,1,9690,20.226973812917628,0.4806262301136059,1.0
v6_w0931_0940_multiden,pool_L,50,2,9690,11.289570864052534,0.4916611780617752,3.0
v6_w0931_0940_multiden,pool_L,50,3,9690,8.705399407501663,0.4967444137284091,5.0
v6_w0931_0940_multiden,pool_L,50,4,9690,6.023678711337241,0.49833877241804786,7.0
v6_w0931_0940_multiden,pool_L,50,5,9690,4.619885404773183,0.5004830114169644,9.0
v6_w0931_0940_multiden,pool_L,50,6,9690,3.5550522104156794,0.5013839664258758,11.0
v6_w0931_0940_multiden,pool_L,50,7,9690,2.491004474581429,0.5019846762005217,13.0
v6_w0931_0940_multiden,pool_L,50,8,9690,2.162581317422195,0.5030895459049666,15.0
v6_w0931_0940_multiden,pool_L,50,9,9690,1.5123779724846136,0.5030649605108306,17.0
v6_w0931_0940_multiden,pool_L,50,10,9690,2.038082935206725,0.504203850917705,19.0
v6_w0931_0940_multiden,pool_L,50,11,9690,0.7633634582243952,0.5039299612508924,21.0
v6_w0931_0940_multiden,pool_L,50,12,9690,0.8899500258644879,0.5040571306809498,23.0
v6_w0931_0940_multiden,pool_L,50,13,9690,0.5386786915278297,0.5043322745903319,25.0
v6_w0931_0940_multiden,pool_L,50,14,9690,0.47241642438150167,0.5040419657443382,27.0
v6_w0931_0940_multiden,pool_L,50,15,9690,0.7248272902522186,0.5049588590876032,29.0
v6_w0931_0940_multiden,pool_L,50,16,9690,0.03837828303731118,0.5039851624666906,31.0
v6_w0931_0940_multiden,pool_L,50,17,9690,-0.4736263846537197,0.5039894367190418,33.0
v6_w0931_0940_multiden,pool_L,50,18,9690,-0.514290145440401,0.5038700397903985,35.0
v6_w0931_0940_multiden,pool_L,50,19,9690,-0.1354706037632068,0.5045524948081568,37.0
v6_w0931_0940_multiden,pool_L,50,20,9690,-0.13650001075892707,0.5046563629629381,39.0
v6_w0931_0940_multiden,pool_L,50,21,9690,-0.18155685149612869,0.5043117727174448,41.0
v6_w0931_0940_multiden,pool_L,50,22,9690,0.23562981822176549,0.5047405786787684,43.0
v6_w0931_0940_multiden,pool_L,50,23,9690,-0.11771035207246064,0.5048916565917952,45.0
v6_w0931_0940_multiden,pool_L,50,24,9690,-0.5619272999417911,0.5042558041527707,47.0
v6_w0931_0940_multiden,pool_L,50,25,9690,0.20543472583405145,0.5046223366995947,49.0
v6_w0931_0940_multiden,pool_L,50,26,9690,-0.29206211383036157,0.5043332163007544,51.0
v6_w0931_0940_multiden,pool_L,50,27,9690,-0.14428409398409747,0.5041413677795342,53.0
v6_w0931_0940_multiden,pool_L,50,28,9690,-0.6103085447026902,0.5042865853768815,55.0
v6_w0931_0940_multiden,pool_L,50,29,9690,-0.34677739817211317,0.5037977971275501,57.0
v6_w0931_0940_multiden,pool_L,50,30,9690,-0.08630335303185337,0.5041795969407677,59.0
v6_w0931_0940_multiden,pool_L,50,31,9690,-0.19602544008024905,0.503880861122228,61.0
v6_w0931_0940_multiden,pool_L,50,32,9690,-0.11677435219856011,0.5034806533515253,63.0
v6_w0931_0940_multiden,pool_L,50,33,9690,-0.4626520673748114,0.5035415302499137,65.0
v6_w0931_0940_multiden,pool_L,50,34,9690,0.009295804315575534,0.5034150147104118,67.0
v6_w0931_0940_multiden,pool_L,50,35,9690,-0.4584767629001002,0.5029564048809119,69.0
v6_w0931_0940_multiden,pool_L,50,36,9690,-1.0474503060873086,0.5018767106106076,71.0
v6_w0931_0940_multiden,pool_L,50,37,9690,-0.691570682342543,0.5023034435269841,73.0
v6_w0931_0940_multiden,pool_L,50,38,9690,-0.157582816352227,0.5024773101878823,75.0
