label_horizon,selected_limit_share_pct,entry_to_close_excess_bps,entry_to_close_selected_limit_mean_bps,entry_to_close_limit_excess_contribution_bps,close_to_next_close_excess_bps,close_to_next_close_selected_limit_mean_bps,close_to_next_close_limit_excess_contribution_bps,entry_to_next_close_excess_bps,entry_to_next_close_selected_limit_mean_bps,entry_to_next_close_limit_excess_contribution_bps,entry_to_next_close_nonlimit_excess_contribution_bps,reselected_nonlimit_next_excess_bps,groups
1m,4.576619579823922,17.830401687203945,656.9358,24.731467075059765,-0.6749873419186605,155.01595,6.424264618970608,17.422516411396295,822.7202,31.587808246096937,-12.917449317203586,-11.002603,9690
3m,4.625292405662154,20.364855891115884,670.99854,25.643868389887537,-0.38598111429786924,159.37305,6.721275548054672,20.26355390001453,841.6692,32.831419157949384,-11.433657033114278,-9.404183,9690
10m,4.442012358636866,20.65045886516876,687.0103,25.102758477073802,-0.5469818704085936,153.73941,6.2196249332888565,20.38330667143055,851.6723,31.756723248538307,-10.123661603490191,-8.073668,9690
1h,4.003952264914591,21.332071104112845,731.77606,24.30699749180591,-1.7674120701765301,142.00638,5.33273610718218,19.785300259137728,885.0282,30.050791658673838,-8.682335662121135,-6.731796,9690
close,3.7955892738044654,20.434517927100057,744.45996,23.385508598148924,-1.0272903503486042,152.26369,5.137072631485484,19.650430044941793,908.6237,28.936949537120835,-7.670463203095067,-5.8658695,9690
