pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
universe,2022,H1,6,15.131134,-18.364374681832263,0.23402077924108747,0.002894526621581531,6,1
universe,2022,H2,6,15.593225,-19.484860384413434,0.2549908236524406,0.0008487617324093259,6,1
universe,2023,H1,6,14.290794,3.178000740918242,0.2602637710742121,0.01753326777149209,6,3
universe,2023,H2,6,12.6693535,-30.650144470563987,0.25463477131154116,-0.0028480083060840066,6,0
universe,2024,H1,6,14.0401945,-19.550088034182327,0.26480473050927517,0.016187578160035496,6,1
universe,2024,H2,6,16.679945,-31.23443640605878,0.2636547921635856,-0.004457062167577919,6,2
universe,2025,H1,6,11.622044,-23.91383893662837,0.2622813429360142,0.005213347218275095,6,2
universe,2025,H2,6,8.451436,-15.531002097223386,0.22702431335089934,0.007378397436547936,6,3
pool_L,2022,H1,6,8.515571,10.76498947105943,0.21689203948802913,0.0013830155272996716,6,4
pool_L,2022,H2,6,9.218832,-1.4229570560500882,0.23347254176620758,-0.0020935112884975173,6,2
pool_L,2023,H1,6,8.792163,17.8735569673174,0.24519160300394272,0.013245770081932418,6,5
pool_L,2023,H2,6,6.5277514,-5.306291967523658,0.23796265022499508,-0.008217555489527496,6,2
pool_L,2024,H1,6,8.350734,12.292675716776165,0.2607896070481342,0.017990972550811474,6,6
pool_L,2024,H2,6,8.569433,5.878565517918976,0.2544509449527757,-0.009087017651137369,6,3
pool_L,2025,H1,6,6.682565,4.528781351170104,0.26919751552774845,0.0027801210223641695,6,3
pool_L,2025,H2,6,4.9497447,10.361837277063433,0.219671981541936,0.0024163160796955526,6,4
