pool,variant,run_id,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months,short_positive_clocks,next_positive_clocks
universe,nn_clock6_w1001_1010_auction_pruned_multiden_grouped_gated_v2_mech_v3_gelu_mse,nn_delay6_clock_state_36m_2022_2025_w1001_1010_auction_pruned_multi_denominator_grouped_gated_v2_mech_v3_gelu_mse_v1,9690,48,4643.264499484004,100.0,-7.7511845,5.8086305,13.559815,-1.9844823008983985,-22.210798033841037,-20.226315732942638,0.25311808212358444,0.00487621467281977,48,13,10,0
pool_L,nn_clock6_w1001_1010_auction_pruned_multiden_grouped_gated_v2_mech_v3_gelu_mse,nn_delay6_clock_state_36m_2022_2025_w1001_1010_auction_pruned_multi_denominator_grouped_gated_v2_mech_v3_gelu_mse_v1,9690,48,3173.741382868937,99.99824561403508,-7.5605955,0.11530637,7.6759024,7.041273850665169,13.590377004134492,6.549103153469324,0.2426686450821684,0.0018357221704076402,48,29,10,10
