case,window,label,test_fold,run_id,test_year,test_month,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,train_dates,train_symbols,test_rows,test_dates,test_symbols,features,model_name,alpha,model_target_col,model_test_r2,ic_mode,selection_mode,top_n,stock_pool_enabled,stock_pool_name,stock_pool_path,stock_pool_date_lag_sessions,stock_pool_filter_train,stock_pool_filter_selection,stock_pool_add_feature,rows,dates,symbols,sample_grain,ic_grouping,ic_groups,overall_ic,overall_rank_ic,group_ic_mean,group_ic_std,group_ic_ir,group_rank_ic_mean,group_rank_ic_std,group_rank_ic_ir,daily_ic_mean,daily_ic_std,daily_ic_ir,daily_rank_ic_mean,daily_rank_ic_std,daily_rank_ic_ir,mean_label,win_rate,top_score_trades,top_score_groups,top_score_group_cols,top_score_mean_return,top_score_median_return,top_score_win_rate,top_score_return_std
w0931_0940_h3m,09:31-09:40,3m,2023-01,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2023,2023-01,2020-01-02,2022-12-30,2023-01-03,2023-06-30,31056994,728,4983,5774957,118,5036,350,torch_mlp,1.0,target_label,0.0215981534620441,cross_section,cross_section,100,False,,,0,False,False,False,5774957,118,5036,date x symbol x opening_tick,"date,decision_target_timestamp",1180,0.1500127893735774,0.108899931812713,0.152696239153823,0.0546507195776757,2.7940389501513145,0.1115954438257211,0.0536017326078432,2.081937250837896,0.1477797808993346,0.0304055061638508,4.860296687809474,0.1051062534597552,0.0338075743657424,3.108955771942651,-0.0006942255422472,0.3997234957766785,118000,1180,"date,decision_target_timestamp",0.0018348654266446,0.0005054386565461,0.5252627118644068,0.0134803289547562
w0931_0940_h3m,09:31-09:40,3m,2023-07,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2023,2023-07,2020-07-01,2023-06-30,2023-07-03,2023-12-29,32466314,729,5109,6219315,124,5111,350,torch_mlp,1.0,target_label,0.0207873715823851,cross_section,cross_section,100,False,,,0,False,False,False,6219315,124,5111,date x symbol x opening_tick,"date,decision_target_timestamp",1240,0.143850970873572,0.1014367326288438,0.1524337482853048,0.0541405806196938,2.815517427787919,0.1123098323597111,0.0543602697018775,2.066027872481876,0.1437004032509174,0.0295437593031883,4.863985039148671,0.1025112693324489,0.0342469983247449,2.993292094109752,-0.0007051394786685,0.4025507632271399,124000,1240,"date,decision_target_timestamp",0.0016816757852211,0.0002955344971269,0.5148387096774194,0.0143751073628664
w0931_0940_h3m,09:31-09:40,3m,2024-01,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2024,2024-01,2021-01-04,2023-12-29,2024-01-02,2024-06-28,33737732,727,5202,5912478,117,5127,350,torch_mlp,1.0,target_label,0.0205605594900903,cross_section,cross_section,100,False,,,0,False,False,False,5912478,117,5127,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1232427324429691,0.0847450554044961,0.1501450282573528,0.0687205575986199,2.1848633582735664,0.1010350540638562,0.0785108742479216,1.2868924850436347,0.1379279297300452,0.041285277132621,3.3408502814932817,0.086430845307307,0.0514673461520408,1.679333631308282,-0.0009591226116754,0.4093434258867433,117000,1170,"date,decision_target_timestamp",0.0017176631372421,0.0001473637821618,0.511,0.0150338374078273
w0931_0940_h3m,09:31-09:40,3m,2024-07,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2024,2024-07,2021-07-01,2024-06-28,2024-07-01,2024-12-31,34749484,726,5226,6291166,125,5136,350,torch_mlp,1.0,target_label,0.0085803832369346,cross_section,cross_section,100,False,,,0,False,False,False,6291166,125,5136,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1257803416437644,0.0936826003064813,0.1408398571483181,0.0704410154997367,1.9994012884275416,0.1109835167826772,0.0901782554170586,1.230712617685914,0.1300653577571296,0.0442998513971055,2.936022439245196,0.0983251924454905,0.0635522251599417,1.5471557793300812,-0.0008088800823315,0.4184430994190902,125000,1250,"date,decision_target_timestamp",0.0018826741725206,6.698595097986981e-05,0.506352,0.0165113564580678
w0931_0940_h3m,09:31-09:40,3m,2025-01,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2025,2025-01,2022-01-04,2024-12-31,2025-01-02,2025-06-30,35520832,726,5260,5949488,117,5167,350,torch_mlp,1.0,target_label,0.0091411701292301,cross_section,cross_section,100,False,,,0,False,False,False,5949488,117,5167,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.0984197378559391,0.0657781572245677,0.1124382417863292,0.060281021197433,1.865234522455588,0.079179316426596,0.0769299179351218,1.0292395800210166,0.1024843347810665,0.0360805861709239,2.8404287639776475,0.0632650684870156,0.0491486585114565,1.2872186220966455,-0.0006866391631774,0.4168656193608593,117000,1170,"date,decision_target_timestamp",0.0011968169128522,-0.0003052227257285,0.4835470085470085,0.0145361945033073
w0931_0940_h3m,09:31-09:40,3m,2025-07,nn_ds350_w0931_0940_h3m_36m_grouped_gated_v2_mse_v1,2025,2025-07,2022-07-01,2025-06-30,2025-07-01,2025-12-31,36094596,726,5266,6449988,126,5195,350,torch_mlp,1.0,target_label,0.0079788559299038,cross_section,cross_section,100,False,,,0,False,False,False,6449988,126,5195,date x symbol x opening_tick,"date,decision_target_timestamp",1260,0.0972023249019549,0.0794065252163102,0.1047931380678681,0.0587214343753241,1.7845806932792534,0.0880244046777237,0.0775845834757674,1.1345605110481396,0.1008405569927245,0.0347582735514595,2.9011957928068663,0.0826851623218201,0.049313480728538,1.676725331496822,-0.000484672433231,0.4147772057870495,126000,1260,"date,decision_target_timestamp",0.0010833345586434,-0.0002780800568871,0.4841031746031746,0.0144602349027991
w0931_0940_h5m,09:31-09:40,5m,2022-01,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2022,2022-01,2019-01-02,2021-12-31,2022-01-04,2022-06-30,28400134,730,4648,5371645,117,4751,350,torch_mlp,1.0,target_label,0.0237861546898493,cross_section,cross_section,100,False,,,0,False,False,False,5371645,117,4751,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1637278265216397,0.1152302365469907,0.1677247366211034,0.0550668690985764,3.045837531108873,0.1184015546768065,0.058687767509361,2.017482683387484,0.1633204263736503,0.0349928441887851,4.667252124249821,0.1133480430874105,0.0411540994585206,2.754234561775664,-0.0007944192038848,0.4241799299842041,117000,1170,"date,decision_target_timestamp",0.0034954559523612,0.0015123821794986,0.5515726495726496,0.0180566497147083
w0931_0940_h5m,09:31-09:40,5m,2022-07,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2022,2022-07,2019-07-01,2022-06-30,2022-07-01,2022-12-30,29615667,729,4798,5942728,125,4906,350,torch_mlp,1.0,target_label,0.0131022434946104,cross_section,cross_section,100,False,,,0,False,False,False,5942728,125,4906,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1264885024415936,0.0981676198987017,0.1303400913152518,0.0465134672112653,2.802201150115168,0.1044038640572676,0.0492626034743931,2.119333057814071,0.1294406126904542,0.0316610267386157,4.088326438655273,0.1025527981290217,0.03403136953655,3.013478432564377,-0.0008262821356765,0.4107177713669547,125000,1250,"date,decision_target_timestamp",0.0023394527379423,0.0006777644739486,0.52424,0.0161499995738267
w0931_0940_h5m,09:31-09:40,5m,2023-01,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2023,2023-01,2020-01-02,2022-12-30,2023-01-03,2023-06-30,31028339,728,4983,5770590,118,5036,350,torch_mlp,1.0,target_label,0.0147059184077313,cross_section,cross_section,100,False,,,0,False,False,False,5770590,118,5036,date x symbol x opening_tick,"date,decision_target_timestamp",1180,0.1264097474076886,0.091068426515039,0.1277709731701297,0.0517954993359353,2.4668354356704327,0.0933427827158118,0.0515507384183127,1.8106972970663209,0.1244190475132253,0.030697857841139,4.053020512281085,0.0866797629337299,0.0342125367763459,2.5335672563648965,-0.0005592267843894,0.4186847445408528,118000,1180,"date,decision_target_timestamp",0.0020770586561411,0.0003202893713023,0.5164830508474576,0.0158399045467376
w0931_0940_h5m,09:31-09:40,5m,2023-07,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2023,2023-07,2020-07-01,2023-06-30,2023-07-03,2023-12-29,32437127,729,5109,6215850,124,5111,350,torch_mlp,1.0,target_label,0.0156210024299477,cross_section,cross_section,100,False,,,0,False,False,False,6215850,124,5111,date x symbol x opening_tick,"date,decision_target_timestamp",1240,0.1239090543463928,0.0795552396564913,0.1307669848250496,0.0533074143712827,2.453073111261144,0.09134095774174,0.0558325608684913,1.6359800861881575,0.1227024687664052,0.0316723409421359,3.874120608595915,0.0765752623870753,0.0416132062702066,1.84016732308128,-0.0006694326875731,0.4115667205611461,124000,1240,"date,decision_target_timestamp",0.0020340704359114,0.0002147179911844,0.5106935483870968,0.0164149012416601
w0931_0940_h5m,09:31-09:40,5m,2024-01,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2024,2024-01,2021-01-04,2023-12-29,2024-01-02,2024-06-28,33708468,727,5202,5909581,117,5127,350,torch_mlp,1.0,target_label,0.0124815567150757,cross_section,cross_section,100,False,,,0,False,False,False,5909581,117,5127,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.107484996123195,0.0737590346536241,0.1299386866519039,0.0710478487830712,1.8288898098609947,0.0809807569972491,0.0803641009208623,1.007673277860646,0.12379239205742,0.0465933096132626,2.656870548259634,0.0683819885384349,0.0575379089248849,1.188468434396995,-0.001017891918309,0.4176829118680326,117000,1170,"date,decision_target_timestamp",0.0019580230582505,8.041728870011866e-05,0.5086923076923077,0.017763840034604
w0931_0940_h5m,09:31-09:40,5m,2024-07,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2024,2024-07,2021-07-01,2024-06-28,2024-07-01,2024-12-31,34722119,726,5226,6288286,125,5136,350,torch_mlp,1.0,target_label,0.0057394129191321,cross_section,cross_section,100,False,,,0,False,False,False,6288286,125,5136,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1111181120089863,0.0721225728290917,0.1219646925035755,0.0691324170242137,1.7642185497558585,0.0873736043037026,0.0910828390684361,0.9592762500305184,0.1139435604691957,0.0466658344722221,2.441691266380779,0.0754234333059605,0.0688090357811713,1.0961268741771726,-0.0007250906201079,0.435779002418147,125000,1250,"date,decision_target_timestamp",0.002274376573041,2.4770761442027837e-08,0.504136,0.0193469058722257
w0931_0940_h5m,09:31-09:40,5m,2025-01,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2025,2025-01,2022-01-04,2024-12-31,2025-01-02,2025-06-30,35498680,726,5260,5947491,117,5167,350,torch_mlp,1.0,target_label,0.0041492309540454,cross_section,cross_section,100,False,,,0,False,False,False,5947491,117,5167,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.0876625585298287,0.0516337390428458,0.0973030148528336,0.0611449786973455,1.5913492313810864,0.0631557475677668,0.0768147870306575,0.8221821606113514,0.0928175290740397,0.0385549402963929,2.407409487876274,0.0529442817429709,0.0534864305776974,0.9898638060369536,-0.0005146987386979,0.4398252977600134,117000,1170,"date,decision_target_timestamp",0.001677602645941,-0.0001824900100473,0.4892649572649573,0.0177997630089521
w0931_0940_h5m,09:31-09:40,5m,2025-07,nn_ds350_w0931_0940_h5m_36m_grouped_gated_v2_mse_v1,2025,2025-07,2022-07-01,2025-06-30,2025-07-01,2025-12-31,36074526,726,5266,6448899,126,5195,350,torch_mlp,1.0,target_label,0.0071976605459939,cross_section,cross_section,100,False,,,0,False,False,False,6448899,126,5195,date x symbol x opening_tick,"date,decision_target_timestamp",1260,0.0865397462953848,0.0601640698574071,0.0930063845179329,0.0599989125271167,1.5501345041195256,0.0658828663593603,0.0813098553371423,0.8102691375625292,0.0907073540571134,0.0372277221102327,2.436553968801136,0.0614617420621911,0.0561834715332234,1.0939470343310214,-0.0003998740285169,0.4286516194469785,126000,1260,"date,decision_target_timestamp",0.0013897782191634,-0.0002751617575995,0.4846984126984127,0.0171487741172313
w0931_0940_h10m,09:31-09:40,10m,2022-01,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2022,2022-01,2019-01-02,2021-12-31,2022-01-04,2022-06-30,28332894,730,4648,5361487,117,4751,350,torch_mlp,1.0,target_label,0.0163467004851246,cross_section,cross_section,100,False,,,0,False,False,False,5361487,117,4751,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.1448277834909156,0.1029791013029605,0.1422565785001651,0.0534313285484921,2.6624188910268,0.0978497465462145,0.0579711162440187,1.687905165295317,0.1442550075170577,0.0401660210680147,3.591468701188625,0.1003231835059631,0.0494796819022576,2.027563226945193,-0.0005650711827911,0.4426204894276532,117000,1170,"date,decision_target_timestamp",0.0043322397395968,0.0017776652239263,0.5483333333333333,0.0222289375960826
w0931_0940_h10m,09:31-09:40,10m,2022-07,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2022,2022-07,2019-07-01,2022-06-30,2022-07-01,2022-12-30,29545469,729,4798,5928910,125,4906,350,torch_mlp,1.0,target_label,0.0077732302652661,cross_section,cross_section,100,False,,,0,False,False,False,5928910,125,4906,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1032458234647959,0.0715136632933396,0.1070352620736787,0.0484324365070872,2.2099912742984964,0.0781976622495184,0.049524319614503,1.5789749936638895,0.1061721819518249,0.0351369363000044,3.0216687375732194,0.0749209431196503,0.037266350039126,2.0104180592140275,-0.0007679384434595,0.4165794387163913,125000,1250,"date,decision_target_timestamp",0.0028244550339877,0.0003797778917942,0.514384,0.0201358739286661
w0931_0940_h10m,09:31-09:40,10m,2023-01,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2023,2023-01,2020-01-02,2022-12-30,2023-01-03,2023-06-30,30960137,728,4983,5756400,118,5036,350,torch_mlp,1.0,target_label,0.0088653649214449,cross_section,cross_section,100,False,,,0,False,False,False,5756400,118,5036,date x symbol x opening_tick,"date,decision_target_timestamp",1180,0.1024239021464673,0.0676533885099718,0.1043183699356458,0.0523383681595763,1.9931528934487568,0.0708703703527412,0.050803963316467,1.3949771971780411,0.1030542221186287,0.0364783740803219,2.825077178377337,0.0680481928769088,0.038722935972687,1.7573097485404054,-0.0002828820142894,0.4431411993607115,118000,1180,"date,decision_target_timestamp",0.0026210006326436,0.0001309952349402,0.5091694915254237,0.0200106687843799
w0931_0940_h10m,09:31-09:40,10m,2023-07,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2023,2023-07,2020-07-01,2023-06-30,2023-07-03,2023-12-29,32365798,729,5109,6205900,124,5111,350,torch_mlp,1.0,target_label,0.0106048339648642,cross_section,cross_section,100,False,,,0,False,False,False,6205900,124,5111,date x symbol x opening_tick,"date,decision_target_timestamp",1240,0.1069174265908911,0.0617740883165907,0.110887266919986,0.0542158208119439,2.045293518742725,0.0713776383391634,0.0568925579993004,1.254604131880325,0.1069585747361519,0.0358650512648119,2.98225071383326,0.0614653730287754,0.045723816799157,1.3442747638230523,-0.0007105362019501,0.409689972445576,124000,1240,"date,decision_target_timestamp",0.0025121455546468,3.12214822884016e-08,0.5023225806451613,0.0200678184628486
w0931_0940_h10m,09:31-09:40,10m,2024-01,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2024,2024-01,2021-01-04,2023-12-29,2024-01-02,2024-06-28,33635735,727,5202,5902749,117,5127,350,torch_mlp,1.0,target_label,0.0033614276533036,cross_section,cross_section,100,False,,,0,False,False,False,5902749,117,5127,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.0724506268882248,0.0572300464095606,0.1011951153889143,0.0802199032371474,1.2614714217462917,0.0583570120455157,0.0911331126457119,0.6403491590634435,0.1003814990072386,0.0614047383423323,1.634751677429357,0.057427679159684,0.0695975889457898,0.8251389168727512,-0.0013146793935447,0.4225251658168084,117000,1170,"date,decision_target_timestamp",0.0016822468023747,-7.430891855619848e-05,0.4899316239316239,0.0212733689695596
w0931_0940_h10m,09:31-09:40,10m,2024-07,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2024,2024-07,2021-07-01,2024-06-28,2024-07-01,2024-12-31,34652676,726,5226,6278419,125,5136,350,torch_mlp,1.0,target_label,4.845760693805712e-05,cross_section,cross_section,100,False,,,0,False,False,False,6278419,125,5136,date x symbol x opening_tick,"date,decision_target_timestamp",1250,0.1000884760015167,0.0557872358883244,0.0986180232300303,0.066728319567581,1.4779035927939423,0.0613422592765615,0.0893327795463924,0.686671338203522,0.1001020087748771,0.0490117035968648,2.0424103107748426,0.0628966095557969,0.0740092833873304,0.8498475688059987,-0.0004704183374997,0.4621561574657569,125000,1250,"date,decision_target_timestamp",0.0030501983128488,5.0527771236374974e-05,0.508328,0.0231922436505556
w0931_0940_h10m,09:31-09:40,10m,2025-01,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2025,2025-01,2022-01-04,2024-12-31,2025-01-02,2025-06-30,35433865,726,5260,5941837,117,5167,350,torch_mlp,1.0,target_label,0.0020006290042904,cross_section,cross_section,100,False,,,0,False,False,False,5941837,117,5167,date x symbol x opening_tick,"date,decision_target_timestamp",1170,0.0663298698300917,0.035835858007906,0.081474984382417,0.057407852661702,1.419230655822295,0.0433041226965252,0.0667506253035057,0.6487448244810813,0.0807833107148541,0.0405984445257757,1.989812951172679,0.0386499708799103,0.0512051345349447,0.754806548814628,-0.0002297638566233,0.4616116194368846,117000,1170,"date,decision_target_timestamp",0.0022424992639571,-0.0001745731278788,0.4905982905982906,0.0211691744625568
w0931_0940_h10m,09:31-09:40,10m,2025-07,nn_ds350_w0931_0940_h10m_36m_grouped_gated_v2_mse_v1,2025,2025-07,2022-07-01,2025-06-30,2025-07-01,2025-12-31,36014215,726,5266,6445091,126,5195,350,torch_mlp,1.0,target_label,0.0028170339709854,cross_section,cross_section,100,False,,,0,False,False,False,6445091,126,5195,date x symbol x opening_tick,"date,decision_target_timestamp",1260,0.0659813251572638,0.0431213024490531,0.0718479211464829,0.0659840289748745,1.0888683559144483,0.0468638524701213,0.0811316348017221,0.5776273655110246,0.0723727992326818,0.046968458820968,1.5408808602502515,0.0478576592863147,0.0604304684052502,0.7919458602468284,-0.0002939051482826,0.4401919228138128,126000,1260,"date,decision_target_timestamp",0.0015095127746462,-0.0005940642440691,0.4782857142857142,0.0220406111329793
