case,window,label,short_ic_max10,short_excess_bps_max10,overnight_excess_bps_max10,short_ic_max30,short_excess_bps_max30,overnight_excess_bps_max30,short_ic_max30_minus_max10,short_excess_bps_max30_minus_max10,overnight_excess_bps_max30_minus_max10
w0931_0940_h1m,09:31-09:40,1m,0.16054524990921434,11.89653,18.567666424834368,0.16210618651400927,11.98288603125,17.76110972456084,0.0015609366047949214,0.08635603125000024,-0.8065567002735285
w0931_0940_h3m,09:31-09:40,3m,0.1075784256285318,12.73471665,20.339969202467152,0.1089573922554106,12.836464781250001,20.60886951474777,0.0013789666268787942,0.1017481312500017,0.2689003122806177
w0931_0940_h5m,09:31-09:40,5m,0.08800476048963565,13.54441551875,21.32340709999165,0.08900814545809699,13.40818285625,20.197078578527236,0.001003384968461335,-0.13623266249999944,-1.126328521464412
w0931_0940_h10m,09:31-09:40,10m,0.06597431987938905,14.9890838875,21.507885436026662,0.06661030226798859,13.9994356,20.764163217907104,0.0006359823885995347,-0.9896482874999997,-0.743722218119558
w0931_0940_h1h,09:31-09:40,1h,0.034097137804801364,18.10617870625,22.946525297625218,0.03127858116923553,16.33319468125,19.854672447684386,-0.002818556635565836,-1.7729840249999995,-3.0918528499408318
w0931_0940_hclose,09:31-09:40,close,0.03592710377699402,24.8665810625,25.663468229698726,0.030857831297239638,20.84611375,19.98885586146032,-0.005069272479754382,-4.020467312499999,-5.674612368238407
w1001_1010_h1m,10:01-10:10,1m,0.2617881748520656,8.5064086125,7.644301334965732,0.2633286028548955,8.53435015625,7.340304997572098,0.0015404280028298856,0.02794154374999991,-0.30399633739363363
w1001_1010_h3m,10:01-10:10,3m,0.1893550921693036,8.5633368,10.415549861645315,0.1892802055579744,8.544794306250001,9.511133535087211,-7.488661132920571e-05,-0.018542493749999167,-0.9044163265581044
w1001_1010_h5m,10:01-10:10,5m,0.15721726348067186,8.598960493749999,10.354909227955499,0.15650377717946326,8.5779068125,10.503500405369259,-0.000713486301208599,-0.021053681249998846,0.14859117741375982
w1001_1010_h10m,10:01-10:10,10m,0.11559168782270643,9.006462775,11.850654365653902,0.11385411230253115,8.3141022875,10.722572947956865,-0.001737575520175283,-0.6923604874999985,-1.1280814176970377
w1001_1010_h1h,10:01-10:10,1h,0.04770661897337579,9.98701243125,12.447022924016247,0.04350162010411227,7.69382130625,10.115372498373551,-0.004204998869263517,-2.293191124999999,-2.331650425642696
w1001_1010_hclose,10:01-10:10,close,0.04694442923937965,17.45202790625,13.845970842401957,0.04120994009224088,14.68084925,10.860075501741157,-0.005734489147138769,-2.771178656249999,-2.9858953406608
w1401_1410_h1m,14:01-14:10,1m,0.3794532551150162,7.64746646875,0.9808900848539422,0.3799700779301669,7.64549945625,1.204508881270358,0.0005168228151506971,-0.001967012500000642,0.2236187964164157
w1401_1410_h3m,14:01-14:10,3m,0.3171775066759403,8.07817114375,2.6619809155102585,0.3175087378896886,8.10171645625,2.1899804983099362,0.00033123121374828424,0.023545312499999582,-0.47200041720032226
w1401_1410_h5m,14:01-14:10,5m,0.2820476287742454,8.197388137499999,3.297631415919728,0.2815366075759543,8.07060148125,2.8040833587816856,-0.0005110211982911061,-0.1267866562499993,-0.4935480571380424
