left_label,right_label,quarter_equal_intersection_names,quarter_equal_overlap_min,quarter_equal_jaccard,group_equal_intersection_names,group_equal_overlap_min,group_equal_jaccard,intersection_p10,intersection_p50,intersection_p90,groups
1m,3m,59.575539402445266,0.5957553940244527,0.4268064799453378,59.56315789473684,0.5956315789473684,0.42666390686110195,52.0,60.0,67.0,9690
1m,10m,38.09363480820774,0.3809363480820773,0.2372359534928583,38.07151702786378,0.38071517027863777,0.23706960552017256,30.0,38.0,46.0,9690
1m,1h,22.17226418291299,0.2217226418291299,0.12564872638082059,22.16202270381837,0.22162022703818368,0.1255842661341528,16.0,22.0,29.0,9690
1m,close,18.800774335938083,0.18800774335938084,0.10448281557212882,18.787306501547988,0.18787306501547987,0.10439938982168886,13.0,19.0,25.0,9690
3m,10m,47.61128688400792,0.4761128688400792,0.3148754078110602,47.59143446852425,0.47591434468524246,0.31471034904698075,39.0,48.0,56.0,9690
3m,1h,26.795101903466783,0.26795101903466784,0.15587020846665897,26.788648090815272,0.26788648090815276,0.15582779789567835,20.0,27.0,34.0,9690
3m,close,22.56965810573274,0.2256965810573274,0.12807440831531977,22.563880288957687,0.22563880288957688,0.12803547815466487,16.0,22.0,29.0,9690
10m,1h,35.534083661437094,0.35534083661437094,0.21769593912769497,35.51909184726522,0.3551909184726522,0.21758640427537823,28.0,36.0,43.0,9690
10m,close,29.952680089681632,0.2995268008968163,0.1774309954794542,29.940660474716204,0.299406604747162,0.17734449449406642,23.0,30.0,37.0,9690
1h,close,35.753151662055615,0.3575315166205562,0.21923990783957387,35.74468524251806,0.3574468524251806,0.21917991486247643,28.0,36.0,43.0,9690
