universe,year,days,daily_rank_ic,top100_excess_bps
all_a,2022,242,0.088152897,59.146288
all_a,2023,242,0.085808867,19.495261
all_a,2024,242,0.063131951,-8.831489
all_a,2025,243,0.085179926,31.972040
pool_l,2022,242,0.063241838,21.748340
pool_l,2023,242,0.070357131,15.012771
pool_l,2024,242,0.038605080,-2.663723
pool_l,2025,243,0.056657690,10.541976
