label_horizon,candidate_limit_share_pct,limit_auc,top100_limit_precision_pct,top100_limit_recall_pct,top100_limit_lift_x,top100_close_excess_bps,selected_limit_close_mean_bps,selected_limit_close_contribution_bps,groups
1m,0.5762296024350804,0.5125399656732036,2.573113810749947,15.729929375486677,4.9824172857048765,9.975831,559.9925284036749,14.31126414746999,9690
3m,0.5762296024350804,0.5273337061227862,2.804603717657344,17.071782178068087,5.404810534264103,12.480877,568.5645604167935,15.679252605648578,9690
10m,0.5762296024350804,0.5267209288016922,3.103019353576129,19.074320950380258,6.044958041534954,14.228556,578.6030850272107,17.682688588701897,9690
1h,0.5762296024350804,0.49474950249966604,2.8223772100304743,17.364553437035365,5.499296716497672,12.162109,611.0570990950838,17.000501064458,9690
close,0.5762296024350804,0.5181260404916507,2.759292837120282,17.09181994823769,5.4159417523037705,14.462207,626.5729284275556,17.127106843422407,9690
