scope,year,days,entry_to_same_day_close_candidate_bps,entry_to_same_day_close_selected_bps,entry_to_same_day_close_excess_bps,same_day_close_to_next_open_candidate_bps,same_day_close_to_next_open_selected_bps,same_day_close_to_next_open_excess_bps,next_open_to_next_close_candidate_bps,next_open_to_next_close_selected_bps,next_open_to_next_close_excess_bps,same_day_close_to_next_close_candidate_bps,same_day_close_to_next_close_selected_bps,same_day_close_to_next_close_excess_bps,entry_to_next_close_candidate_bps,entry_to_next_close_selected_bps,entry_to_next_close_excess_bps
universe,2022,242,-6.2757497,32.566547,38.842297,-10.272122994609552,-63.9600425175097,-53.687919522900145,4.896342565761051,28.256478488065202,23.36013592230415,-5.712777,-36.985004,-31.272228,-12.003852,-4.2781396,7.7257113
universe,2023,242,-0.1294296,35.936543,36.065975,-4.014890694029844,-55.563071921535226,-51.54818122750539,4.382029060900987,32.49655924857329,28.114530187672305,0.10319456,-24.155859,-24.259056,-0.10052743,11.294889,11.395418
universe,2024,242,-2.8420062,39.11299,41.954998,-7.034917530202738,-79.76904600431051,-72.73412847410776,7.429605064475862,37.40246427274713,29.97285920827127,0.10061923,-43.71294,-43.813557,-1.97834,-3.2673159,-1.2889712
universe,2025,243,9.978062,30.185856,20.207794,-8.745589275567873,-56.03289366056872,-47.28730438500084,22.348389491366845,42.91716479736622,20.568775305999388,13.497359,-14.202842,-27.700205,23.523209,16.11793,-7.405281
pool_L,2022,242,-5.641957,14.533538,20.175495,-2.3742418689268563,-16.574042107957975,-14.199800239031116,5.396771636760433,17.530044619434488,12.133272982674054,2.7281826,0.28003618,-2.4481475,-2.9155424,15.040556,17.956099
pool_L,2023,242,0.880062,21.224548,20.344486,1.3574154687812103,-13.928363872670474,-15.285779341451683,5.040282814832806,22.281739758254165,17.24145694342135,6.1617556,7.7501183,1.5883617,6.9939976,29.082466,22.08847
pool_L,2024,242,-2.0256298,18.68903,20.71466,2.177060734789828,-16.173848294840155,-18.350909029629985,7.747729875312736,19.851879477776478,12.104149602463739,9.705826,3.088161,-6.6176624,8.511107,22.981255,14.470152
pool_L,2025,243,10.798002,21.859135,11.061129,-2.5021651136004754,-10.293532962156414,-7.791367848555935,23.621951795789677,36.37762503928502,12.755673243495357,21.069485,25.642908,4.573425,31.956352,47.89835,15.941999
