Exit code: 0
Wall time: 0 seconds
Output:
policy,pool,overlap_days,overlap_mean_fill_ratio,mean_capital_fraction,mean_unique_symbols,mean_repeated_symbols,mean_repeated_symbol_notional_share,max_daily_symbol_weight,mean_effective_symbols,adjacent_pairs,mean_name_jaccard,mean_name_overlap_min,mean_weighted_overlap_min
capacity_only,pool_L,969,1.0,0.5,793.6119711042312,386.7729618163055,0.8139006217581007,0.005,348.8274852558114,8721,0.16492414478962358,0.2946638650619823,0.2900847536979391
realistic_no_refill,pool_L,969,0.8078033539166014,0.4039016769583007,776.1382868937048,377.1578947368421,0.8095270573428011,0.004998534017181397,325.4410835932584,8721,0.16225788487919018,0.2903899048541226,0.28204840885077354
visible_pretrade_refill,pool_L,969,0.9999692474806567,0.49998462374032837,969.6377708978329,501.20743034055727,0.8332123845172836,0.004998534017181397,392.1193636116723,8721,0.17413812925531783,0.3083446704924426,0.2928081780997142
