Exit code: 0
Wall time: 0.1 seconds
Output:
policy,pool,unit,omitted_period,omitted_period_net_bps,remaining_cumulative_net_bps
capacity_only,pool_L,month,2022-01,-1034.193315544994,10023.99178976645
capacity_only,pool_L,month,2022-02,915.9467282942508,8073.851745927207
capacity_only,pool_L,month,2022-03,-116.17092600980243,9105.96940023126
capacity_only,pool_L,month,2022-04,-815.8806512799579,9805.679125501416
capacity_only,pool_L,month,2022-05,852.7922882741892,8137.006185947268
capacity_only,pool_L,month,2022-06,1012.160098878259,7977.638375343198
capacity_only,pool_L,month,2022-07,568.8096280247594,8420.988846196698
capacity_only,pool_L,month,2022-08,-590.8366811181546,9580.635155339613
capacity_only,pool_L,month,2022-09,-887.4054583676809,9877.203932589138
capacity_only,pool_L,month,2022-10,570.8046943339564,8418.993779887502
capacity_only,pool_L,month,2022-11,430.30013413044384,8559.498340091013
capacity_only,pool_L,month,2022-12,-311.69450771809363,9301.492981939551
capacity_only,pool_L,month,2023-01,591.7515669287603,8398.046907292697
capacity_only,pool_L,month,2023-02,280.897701961793,8708.900772259665
capacity_only,pool_L,month,2023-03,230.59642390867754,8759.20205031278
capacity_only,pool_L,month,2023-04,249.20662994232111,8740.591844279137
capacity_only,pool_L,month,2023-05,331.0269282962215,8658.771545925236
capacity_only,pool_L,month,2023-06,464.158117502663,8525.640356718795
capacity_only,pool_L,month,2023-07,-314.2291128079288,9304.027587029386
capacity_only,pool_L,month,2023-08,-192.41020844886003,9182.208682670318
capacity_only,pool_L,month,2023-09,115.82748194858533,8873.970992272873
capacity_only,pool_L,month,2023-10,-31.113621472259332,9020.912095693717
capacity_only,pool_L,month,2023-11,361.4036900402436,8628.394784181213
capacity_only,pool_L,month,2023-12,-132.4725157110459,9122.270989932504
capacity_only,pool_L,month,2024-01,-1968.3719590472995,10958.170433268757
capacity_only,pool_L,month,2024-02,1688.5267434023049,7301.271730819153
capacity_only,pool_L,month,2024-03,661.5497276340634,8328.248746587395
capacity_only,pool_L,month,2024-04,58.86411514811553,8930.934359073342
capacity_only,pool_L,month,2024-05,-294.6658208955293,9284.464295116986
capacity_only,pool_L,month,2024-06,-491.1597505817835,9480.95822480324
capacity_only,pool_L,month,2024-07,80.4044531776421,8909.394021043816
capacity_only,pool_L,month,2024-08,-721.437132305026,9711.235606526483
capacity_only,pool_L,month,2024-09,2544.227568388782,6445.570905832676
capacity_only,pool_L,month,2024-10,156.7982318084467,8833.00024241301
capacity_only,pool_L,month,2024-11,524.2046183120383,8465.59385590942
capacity_only,pool_L,month,2024-12,-476.3785575199823,9466.17703174144
capacity_only,pool_L,month,2025-01,199.46053448410188,8790.337939737356
capacity_only,pool_L,month,2025-02,1251.496034844057,7738.3024393774
capacity_only,pool_L,month,2025-03,-109.87640530335075,9099.674879524808
capacity_only,pool_L,month,2025-04,200.7535070844663,8789.044967136992
capacity_only,pool_L,month,2025-05,-1.3411061574752594,8991.139580378933
capacity_only,pool_L,month,2025-06,583.7202378415584,8406.078236379899
capacity_only,pool_L,month,2025-07,408.96976871001846,8580.82870551144
capacity_only,pool_L,month,2025-08,1090.6069648699201,7899.191509351537
capacity_only,pool_L,month,2025-09,561.3707425504292,8428.427731671029
capacity_only,pool_L,month,2025-10,-80.24710728792218,9070.04558150938
capacity_only,pool_L,month,2025-11,39.68777151890979,8950.110702702548
capacity_only,pool_L,month,2025-12,533.3601795586247,8456.438294662832
realistic_no_refill,pool_L,month,2022-01,-827.0787321840448,8010.699433005158
realistic_no_refill,pool_L,month,2022-02,708.5583745184626,6475.062326302652
realistic_no_refill,pool_L,month,2022-03,-104.25198554751549,7287.87268636863
realistic_no_refill,pool_L,month,2022-04,-620.2220092599968,7803.84271008111
realistic_no_refill,pool_L,month,2022-05,673.4681446755234,6510.152556145591
realistic_no_refill,pool_L,month,2022-06,794.1988609490999,6389.421839872014
realistic_no_refill,pool_L,month,2022-07,426.7817072295827,6756.838993591531
realistic_no_refill,pool_L,month,2022-08,-432.5812457497975,7616.201946570912
realistic_no_refill,pool_L,month,2022-09,-729.4216377967027,7913.042338617817
realistic_no_refill,pool_L,month,2022-10,429.92929454565336,6753.69140627546
realistic_no_refill,pool_L,month,2022-11,346.00458448217364,6837.616116338941
realistic_no_refill,pool_L,month,2022-12,-258.5258371891831,7442.146538010297
realistic_no_refill,pool_L,month,2023-01,479.75460374401615,6703.866097077098
realistic_no_refill,pool_L,month,2023-02,227.2609840337097,6956.359716787404
realistic_no_refill,pool_L,month,2023-03,195.62230700262518,6987.998393818489
realistic_no_refill,pool_L,month,2023-04,204.4903157764247,6979.130385044689
realistic_no_refill,pool_L,month,2023-05,232.3579115054801,6951.262789315634
realistic_no_refill,pool_L,month,2023-06,361.75542997473826,6821.865270846376
realistic_no_refill,pool_L,month,2023-07,-202.90853519198205,7386.529236013096
realistic_no_refill,pool_L,month,2023-08,-165.05023316057512,7348.670933981689
realistic_no_refill,pool_L,month,2023-09,129.16415274527336,7054.456548075841
realistic_no_refill,pool_L,month,2023-10,-4.8219854555001405,7188.442686276614
realistic_no_refill,pool_L,month,2023-11,282.2587852187006,6901.361915602413
realistic_no_refill,pool_L,month,2023-12,-143.78807820566206,7327.408779026776
realistic_no_refill,pool_L,month,2024-01,-1482.3577792641381,8665.978480085252
realistic_no_refill,pool_L,month,2024-02,1119.128140262551,6064.492560558563
realistic_no_refill,pool_L,month,2024-03,538.4444903878616,6645.176210433252
realistic_no_refill,pool_L,month,2024-04,85.64384749722626,7097.976853323888
realistic_no_refill,pool_L,month,2024-05,-271.4941300245546,7455.114830845669
realistic_no_refill,pool_L,month,2024-06,-398.3911803112856,7582.0118811324
realistic_no_refill,pool_L,month,2024-07,62.40993855342576,7121.210762267689
realistic_no_refill,pool_L,month,2024-08,-579.5159138771528,7763.136614698267
realistic_no_refill,pool_L,month,2024-09,2101.907496532489,5081.713204288625
realistic_no_refill,pool_L,month,2024-10,154.91873792217552,7028.701962898938
realistic_no_refill,pool_L,month,2024-11,418.7084523800283,6764.9122484410855
realistic_no_refill,pool_L,month,2024-12,-386.1416357484533,7569.762336569567
realistic_no_refill,pool_L,month,2025-01,121.10483324747784,7062.515867573637
realistic_no_refill,pool_L,month,2025-02,1040.1808772159582,6143.439823605156
realistic_no_refill,pool_L,month,2025-03,-87.73500604982885,7271.355706870943
realistic_no_refill,pool_L,month,2025-04,123.65619133292505,7059.964509488189
realistic_no_refill,pool_L,month,2025-05,4.021480107761974,7179.599220713352
realistic_no_refill,pool_L,month,2025-06,456.37882234282654,6727.241878478288
realistic_no_refill,pool_L,month,2025-07,341.1862041911118,6842.434496630002
realistic_no_refill,pool_L,month,2025-08,926.177351029307,6257.443349791807
realistic_no_refill,pool_L,month,2025-09,503.7582950833819,6679.862405737732
realistic_no_refill,pool_L,month,2025-10,-79.62825158247134,7263.2489524035855
realistic_no_refill,pool_L,month,2025-11,20.650692447055093,7162.970008374059
realistic_no_refill,pool_L,month,2025-12,447.65357048493263,6735.967130336181
visible_pretrade_refill,pool_L,month,2022-01,-1050.789491417134,9481.920574369382
visible_pretrade_refill,pool_L,month,2022-02,832.5974945227124,7598.5335884295355
visible_pretrade_refill,pool_L,month,2022-03,-169.47340353005987,8600.604486482309
visible_pretrade_refill,pool_L,month,2022-04,-772.109408306256,9203.240491258504
visible_pretrade_refill,pool_L,month,2022-05,840.0233907792309,7591.107692173017
visible_pretrade_refill,pool_L,month,2022-06,982.1891515936305,7448.941931358618
visible_pretrade_refill,pool_L,month,2022-07,476.44633964934485,7954.684743302903
visible_pretrade_refill,pool_L,month,2022-08,-512.5448591107504,8943.675942062999
visible_pretrade_refill,pool_L,month,2022-09,-898.6271659829731,9329.75824893522
visible_pretrade_refill,pool_L,month,2022-10,528.3327657073903,7902.798317244858
visible_pretrade_refill,pool_L,month,2022-11,450.35024002770683,7980.7808429245415
visible_pretrade_refill,pool_L,month,2022-12,-317.1392036388399,8748.270286591089
visible_pretrade_refill,pool_L,month,2023-01,614.141082346942,7816.990000605306
visible_pretrade_refill,pool_L,month,2023-02,249.73905147722724,8181.392031475021
visible_pretrade_refill,pool_L,month,2023-03,178.7586804570288,8252.372402495219
visible_pretrade_refill,pool_L,month,2023-04,198.83093146520162,8232.300151487047
visible_pretrade_refill,pool_L,month,2023-05,242.0317453396412,8189.099337612607
visible_pretrade_refill,pool_L,month,2023-06,409.96562644258216,8021.165456509666
visible_pretrade_refill,pool_L,month,2023-07,-241.5155513898204,8672.646634342069
visible_pretrade_refill,pool_L,month,2023-08,-232.20577114057738,8663.336854092826
visible_pretrade_refill,pool_L,month,2023-09,130.78421086662433,8300.346872085624
visible_pretrade_refill,pool_L,month,2023-10,-29.67243816930302,8460.803521121552
visible_pretrade_refill,pool_L,month,2023-11,351.4944486270507,8079.6366343251975
visible_pretrade_refill,pool_L,month,2023-12,-169.8489973812645,8600.980080333513
visible_pretrade_refill,pool_L,month,2024-01,-1901.5508873130184,10332.681970265267
visible_pretrade_refill,pool_L,month,2024-02,1659.7916333649177,6771.339449587331
visible_pretrade_refill,pool_L,month,2024-03,642.028426868614,7789.102656083634
visible_pretrade_refill,pool_L,month,2024-04,152.0912319763905,8279.039850975858
visible_pretrade_refill,pool_L,month,2024-05,-340.4005308677306,8771.531613819978
visible_pretrade_refill,pool_L,month,2024-06,-474.725332941978,8905.856415894226
visible_pretrade_refill,pool_L,month,2024-07,92.15176639103493,8338.979316561214
visible_pretrade_refill,pool_L,month,2024-08,-701.1883038081277,9132.319386760375
visible_pretrade_refill,pool_L,month,2024-09,2534.9254798104807,5896.205603141767
visible_pretrade_refill,pool_L,month,2024-10,128.30280670792658,8302.828276244321
visible_pretrade_refill,pool_L,month,2024-11,498.16892914352695,7932.962153808721
visible_pretrade_refill,pool_L,month,2024-12,-475.9643003698417,8907.09538332209
