Exit code: 0
Wall time: 0 seconds
Output:
policy,pool,days,capacity_decision_groups,mean_selected_rows,mean_target_notional,mean_selected_allocated_notional,mean_fill_ratio,min_fill_ratio,mean_capacity_daily_capital_fraction,mean_next_net_return_bps,final_next_cumulative_net_return_bps,total_net_pnl,overlap_days,overlap_mean_fill_ratio,mean_capital_fraction,mean_unique_symbols,mean_repeated_symbols,mean_repeated_symbol_notional_share,max_daily_symbol_weight,mean_effective_symbols,adjacent_pairs,mean_name_jaccard,mean_name_overlap_min,mean_weighted_overlap_min,p95_raw_net_bps_vs_target,p95_winsor_net_bps_vs_target,p95_trim_net_bps_vs_target,p95_tail_notional_share,p99_raw_net_bps_vs_target,p99_winsor_net_bps_vs_target,p99_trim_net_bps_vs_target,p99_tail_notional_share,block_unit,blocks,samples,observed_cumulative_net_bps,bootstrap_p05_cumulative_net_bps,bootstrap_median_cumulative_net_bps,bootstrap_p95_cumulative_net_bps,bootstrap_positive_probability
capacity_only,pool_L,969,9690,1634.0908152734778,500000000.0,500000000.0,1.0,1.0,0.5,18.554795612428187,8989.798474221456,898979847.4221456,969,1.0,0.5,793.6119711042312,386.7729618163055,0.8139006217581007,0.005,348.8274852558114,8721,0.16492414478962358,0.2946638650619823,0.2900847536979391,18.554795612428183,-9.912301961191787,-60.60684373884428,0.05802149076467653,18.554795612428183,12.750701888974636,-6.30491295611613,0.01137613301105889,month,48,5000,8989.798474221458,805.7804572033655,8992.715694084225,17130.49590926659,0.9642
realistic_no_refill,pool_L,969,9690,1591.1331269349846,500000000.0,403901676.9583007,0.8078033539166014,0.597264400362587,0.5,14.826874511498687,7183.620700821114,718362070.0821114,969,0.8078033539166014,0.4039016769583007,776.1382868937048,377.1578947368421,0.8095270573428011,0.004998534017181397,325.4410835932584,8721,0.16225788487919018,0.2903899048541226,0.28204840885077354,14.82687451149869,-6.981350704774454,-46.50850000937369,0.056413366291468335,14.82687451149869,10.4403433120141,-4.149844167866677,0.010911552852801874,month,48,5000,7183.620700821114,724.8780280530442,7107.851013123629,13783.925724808958,0.965
visible_pretrade_refill,pool_L,969,9690,2095.8039215686276,500000000.0,499984623.7403284,0.9999692474806567,0.9999243641889095,0.5,17.401715341490707,8431.131082952248,843113108.2952248,969,0.9999692474806567,0.49998462374032837,969.6377708978329,501.20743034055727,0.8332123845172836,0.004998534017181397,392.1193636116723,8721,0.17413812925531783,0.3083446704924426,0.2928081780997142,17.401715341490704,-9.3323839517242,-56.9606045548277,0.057047572653072504,17.401715341490704,11.948676224620199,-5.936978508393123,0.011120410005773457,month,48,5000,8431.131082952248,209.17397877430946,8445.419802808512,16737.738299967652,0.9534
