label_horizon,selected_limit_share_pct,entry_to_close_excess_bps,entry_to_close_selected_limit_mean_bps,entry_to_close_limit_excess_contribution_bps,entry_to_close_nonlimit_excess_contribution_bps,close_to_next_close_excess_bps,close_to_next_close_selected_limit_mean_bps,close_to_next_close_limit_excess_contribution_bps,close_to_next_close_nonlimit_excess_contribution_bps,entry_to_next_close_excess_bps,entry_to_next_close_selected_limit_mean_bps,entry_to_next_close_limit_excess_contribution_bps,entry_to_next_close_nonlimit_excess_contribution_bps,reselected_nonlimit_next_excess_bps,groups
1m,4.576619579823922,17.830401687203945,656.9358,23.759981252645545,-5.929579499806358,-0.6749873419186605,155.01595,6.166193779978824,-6.841181120737818,17.422516411396295,822.7202,30.339965917755638,-12.917449317203586,-11.002603,9690
3m,4.625292405662154,20.364855891115884,670.99854,24.762259884966912,-4.397404027937004,-0.38598111429786924,159.37305,6.48564197670454,-6.871622969585282,20.26355390001453,841.6692,31.697210979643394,-11.433657033114278,-9.404183,9690
10m,4.442012358636866,20.65045886516876,687.0103,24.119466257361143,-3.46900734897998,-0.5469818704085936,153.73941,5.971554394058046,-6.518536315649497,20.38330667143055,851.6723,30.50696828476277,-10.123661603490191,-8.073668,9690
1h,4.003952264914591,21.332071104112845,731.77606,23.04410860266304,-1.7120375241305195,-1.7674120701765301,142.00638,5.035966057627661,-6.803377991118407,19.785300259137728,885.0282,28.467635892926708,-8.682335662121135,-6.731796,9690
close,3.7955892738044654,20.434517927100057,744.45996,22.089384105932687,-1.6548661180535356,-1.0272903503486042,152.26369,4.840988732147498,-5.8682789192914955,19.650430044941793,908.6237,27.32089320797548,-7.670463203095067,-5.8658695,9690
