label_horizon,selected_limit_share_pct,entry_to_close_excess_bps,entry_to_close_selected_limit_mean_bps,entry_to_close_limit_excess_contribution_bps,close_to_next_close_excess_bps,close_to_next_close_selected_limit_mean_bps,close_to_next_close_limit_excess_contribution_bps,entry_to_next_close_excess_bps,entry_to_next_close_selected_limit_mean_bps,entry_to_next_close_limit_excess_contribution_bps,entry_to_next_close_nonlimit_excess_contribution_bps,reselected_nonlimit_next_excess_bps,groups
1m,2.5731138107499465,9.975830787915202,559.99255,12.514294426382056,-2.6848799055001127,142.08452,3.8501143944238243,7.343603775308686,710.7694,16.580418329502596,-6.548872433322726,-5.3753266,9690
3m,2.804603717657344,12.480877335122017,568.5646,13.747264059302921,-3.1275808278884636,138.61678,3.9973164198469533,9.411243271381615,715.66296,17.97348801731197,-6.088982850812972,-4.79531,9690
10m,3.103019353576129,14.228555200252615,578.6031,15.713726531587657,-3.600501591808262,139.2162,4.466865993591965,10.693988578267092,726.61475,20.45147229253218,-7.335594206749601,-5.508566,9690
1h,2.8223772100304743,12.1621095026078,611.0571,15.285861289297943,-2.124120852466726,142.49304,4.053725538660587,10.059654383796328,763.96387,19.603684219278144,-6.823866506682108,-5.0844364,9690
close,2.759292837120282,14.462207077799327,626.57294,15.556695360894974,-3.8364734104016796,135.641,3.641655195767603,10.69791500077054,772.1791,19.444989978246134,-5.927437907245198,-4.647106,9690
